subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.79167,:g,<0.0001,-7.74,0.84667,:g,<0.0001,-10.48,0.82333,:g,<0.0001,-9.27
subject_01_session_02,0.78,:g,<0.0001,-6.52,0.85,:g,<0.0001,-9.28,0.75,:g,<0.0001,-5.57
subject_01_session_03,0.88,:g,<0.0001,-11.64,0.86,:g,<0.0001,-10.3,0.79,:g,<0.0001,-7.03
subject_02_session_01,0.835,:g,<0.0001,-8.77,0.825,:g,<0.0001,-8.57,0.7875,:g,<0.0001,-6.74
subject_02_session_02,0.6825,:g,0.00013,-3.66,0.7175,:g,<0.0001,-4.14,0.655,:g,0.00211,-2.86
subject_02_session_03,0.85,:g,<0.0001,-9.88,0.77,:g,<0.0001,-6.46,0.73,:g,<0.0001,-5.25
subject_03_session_01,0.9,:g,<0.0001,-14.34,0.96,:g,<0.0001,-23.67,0.89,:g,<0.0001,-12.69
subject_03_session_02,0.8,:g,<0.0001,-7.5,0.92,:g,<0.0001,-15.51,0.91,:g,<0.0001,-14.2
subject_03_session_03,0.92,:g,<0.0001,-14.85,1.0,:g,<0.0001,-Inf,0.93,:g,<0.0001,-16.52
subject_04_session_01,0.9475,:g,<0.0001,-17.89,0.9225,:g,<0.0001,-14.63,0.9575,:g,<0.0001,-21.17
subject_04_session_03,0.91,:g,<0.0001,-13.82,0.89,:g,<0.0001,-12.1,0.8475,:g,<0.0001,-9.79
