subject-session,accMDM,accENLR
subject_06_session_01,0.59375,0.68264
subject_06_session_02,0.66875,0.81944
subject_06_session_03,0.61944,0.825
subject_07_session_01,0.56591,0.84091
subject_07_session_02,0.76545,0.845
subject_07_session_03,0.7375,0.775
subject_07_session_04,0.71932,0.61932
subject_08_session_01,0.8,0.75545
subject_08_session_02,0.80417,0.85833
subject_08_session_03,0.825,0.86875
subject_08_session_04,0.66944,0.765
subject_09_session_01,0.64833,0.64
subject_09_session_02,0.83523,0.7572
subject_09_session_03,0.60985,0.66061
subject_09_session_04,0.60773,0.7147
