subject-session,accMDM,accENLR
subject_02_session_01,0.79184,0.877
subject_04_session_01,0.87,0.8935
subject_05_session_01,0.78463,0.79828
subject_07_session_01,0.8113,0.85852
subject_08_session_01,0.76089,0.77796
subject_09_session_01,0.66268,0.58082
subject_10_session_01,0.79102,0.79096
subject_11_session_01,0.80459,0.85911
subject_12_session_01,0.81169,0.90404
subject_13_session_01,0.77953,0.8196
subject_14_session_01,0.73838,0.82048
subject_15_session_01,0.79294,0.82111
subject_16_session_01,0.81294,0.856
subject_17_session_01,0.72311,0.84415
subject_18_session_01,0.78764,0.82647
subject_19_session_01,0.79061,0.89095
subject_20_session_01,0.6888,0.76001
subject_21_session_01,0.68479,0.69469
subject_22_session_01,0.75857,0.88571
subject_23_session_01,0.78039,0.89691
subject_24_session_01,0.80086,0.90725
subject_25_session_01,0.85861,0.87444
