subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.985,:g,<0.0001,-56.87,1.0,:g,<0.0001,-Inf,0.96,:g,<0.0001,-32.66
subject_01_session_02,0.99,:g,<0.0001,-68.95,0.99,:g,<0.0001,-68.95,0.98444,:g,<0.0001,-55.21
subject_02_session_01,0.955,:g,<0.0001,-30.69,0.955,:g,<0.0001,-30.69,0.89,:g,<0.0001,-17.63
subject_02_session_02,0.965,:g,<0.0001,-35.0,0.96444,:g,<0.0001,-35.14,0.94944,:g,<0.0001,-28.5
subject_03_session_01,0.965,:g,<0.0001,-36.26,0.945,:g,<0.0001,-27.64,0.94,:g,<0.0001,-25.98
subject_03_session_02,0.97,:g,<0.0001,-38.72,0.98,:g,<0.0001,-48.64,0.97,:g,<0.0001,-38.72
subject_04_session_01,0.875,:g,<0.0001,-15.82,0.855,:g,<0.0001,-14.08,0.75,:g,<0.0001,-8.12
subject_04_session_02,0.905,:g,<0.0001,-19.52,0.915,:g,<0.0001,-21.14,0.875,:g,<0.0001,-15.97
subject_05_session_01,0.91,:g,<0.0001,-20.18,0.88944,:g,<0.0001,-17.35,0.82389,:g,<0.0001,-11.96
subject_05_session_02,0.845,:g,<0.0001,-13.6,0.84,:g,<0.0001,-13.2,0.785,:g,<0.0001,-9.77
subject_06_session_01,0.67,:g,<0.0001,-5.03,0.705,:g,<0.0001,-6.33,0.605,:g,0.00113,-3.05
subject_06_session_02,0.82944,:g,<0.0001,-12.23,0.86389,:g,<0.0001,-14.79,0.80944,:g,<0.0001,-10.91
subject_07_session_01,0.88,:g,<0.0001,-16.95,0.89,:g,<0.0001,-17.35,0.81,:g,<0.0001,-11.13
subject_07_session_02,0.88,:g,<0.0001,-16.82,0.895,:g,<0.0001,-17.93,0.845,:g,<0.0001,-13.46
subject_08_session_01,0.565,:n,0.03392,-1.83,0.755,:g,<0.0001,-8.26,0.725,:g,<0.0001,-7.07
subject_08_session_02,0.7,:g,<0.0001,-6.16,0.775,:g,<0.0001,-9.44,0.705,:g,<0.0001,-6.44
subject_08_session_03,0.8,:g,<0.0001,-10.62,0.865,:g,<0.0001,-15.02,0.795,:g,<0.0001,-10.35
subject_09_session_01,0.64778,:g,<0.0001,-4.3,0.67722,:g,<0.0001,-5.24,0.60222,:g,0.00201,-2.88
subject_09_session_02,0.875,:g,<0.0001,-15.75,0.875,:g,<0.0001,-15.97,0.795,:g,<0.0001,-10.22
subject_09_session_03,0.92,:g,<0.0001,-21.8,0.95,:g,<0.0001,-28.92,0.945,:g,<0.0001,-27.5
subject_10_session_01,0.67722,:g,<0.0001,-5.37,0.72778,:g,<0.0001,-7.17,0.66722,:g,<0.0001,-5.03
subject_10_session_02,0.63944,:g,<0.0001,-4.13,0.75722,:g,<0.0001,-8.4,0.65167,:g,<0.0001,-4.3
subject_10_session_03,0.66389,:g,<0.0001,-4.89,0.67389,:g,<0.0001,-5.2,0.57444,:n,0.02107,-2.03
subject_11_session_01,0.90944,:g,<0.0001,-19.7,0.89944,:g,<0.0001,-18.91,0.81944,:g,<0.0001,-11.84
subject_11_session_02,0.69278,:g,<0.0001,-5.97,0.78389,:g,<0.0001,-9.63,0.69667,:g,<0.0001,-6.05
subject_11_session_03,0.81,:g,<0.0001,-11.11,0.82,:g,<0.0001,-11.58,0.845,:g,<0.0001,-13.52
subject_12_session_01,0.63,:g,<0.0001,-3.77,0.67,:g,<0.0001,-5.11,0.6,:g,0.00195,-2.89
subject_12_session_02,0.7,:g,<0.0001,-6.13,0.75,:g,<0.0001,-8.36,0.685,:g,<0.0001,-5.62
