subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.795,:g,<0.0001,-10.44,0.845,:g,<0.0001,-13.49,0.85,:g,<0.0001,-13.99
subject_02_session_01,0.48,:b,0.71259,0.56,0.61,:g,0.00075,-3.18,0.61,:g,0.00067,-3.21
subject_03_session_01,0.805,:g,<0.0001,-10.88,0.89,:g,<0.0001,-17.4,0.78,:g,<0.0001,-9.44
subject_04_session_01,0.635,:g,<0.0001,-3.9,0.745,:g,<0.0001,-7.85,0.67,:g,<0.0001,-5.09
subject_05_session_01,0.745,:g,<0.0001,-7.89,0.75,:g,<0.0001,-8.01,0.665,:g,<0.0001,-4.97
subject_06_session_01,0.65,:g,<0.0001,-4.45,0.81,:g,<0.0001,-11.03,0.68,:g,<0.0001,-5.37
subject_09_session_01,0.5,:b,0.5,0.0,0.6125,:g,0.00019,-3.55,0.575,:n,0.00808,-2.41
subject_10_session_01,0.57,:n,0.02444,-1.97,0.76,:g,<0.0001,-8.49,0.735,:g,<0.0001,-7.47
subject_11_session_01,0.58,:n,0.01124,-2.28,0.54,:b,0.13241,-1.12,0.665,:g,<0.0001,-4.88
subject_12_session_01,0.72,:g,<0.0001,-6.9,0.72,:g,<0.0001,-6.92,0.715,:g,<0.0001,-6.77
subject_13_session_01,0.63,:g,<0.0001,-3.84,0.745,:g,<0.0001,-7.88,0.645,:g,<0.0001,-4.26
subject_14_session_01,0.86,:g,<0.0001,-14.63,0.945,:g,<0.0001,-27.78,0.905,:g,<0.0001,-19.23
subject_15_session_01,0.605,:g,0.0011,-3.06,0.695,:g,<0.0001,-5.88,0.64,:g,<0.0001,-4.1
subject_18_session_01,0.595,:g,0.00287,-2.76,0.59,:g,0.00431,-2.63,0.585,:n,0.00726,-2.44
subject_19_session_01,0.565,:n,0.03278,-1.84,0.69,:g,<0.0001,-5.82,0.66,:g,<0.0001,-4.69
subject_20_session_01,0.675,:g,<0.0001,-5.3,0.645,:g,<0.0001,-4.22,0.645,:g,<0.0001,-4.21
subject_21_session_01,0.63,:g,<0.0001,-3.9,0.67,:g,<0.0001,-5.22,0.66,:g,<0.0001,-4.8
subject_22_session_01,0.535,:b,0.15576,-1.01,0.585,:n,0.00699,-2.46,0.515,:b,0.33753,-0.42
subject_23_session_01,0.675,:g,<0.0001,-5.25,0.8,:g,<0.0001,-10.52,0.75,:g,<0.0001,-8.1
subject_24_session_01,0.585,:n,0.00678,-2.47,0.64,:g,<0.0001,-4.06,0.63,:g,<0.0001,-3.77
subject_25_session_01,0.52,:b,0.28312,-0.57,0.695,:g,<0.0001,-6.01,0.605,:g,0.00096,-3.1
subject_26_session_01,0.635,:g,<0.0001,-4.01,0.82,:g,<0.0001,-11.81,0.685,:g,<0.0001,-5.65
subject_28_session_01,0.6,:g,0.00219,-2.85,0.71,:g,<0.0001,-6.49,0.59,:n,0.00512,-2.57
subject_30_session_01,0.57,:n,0.02234,-2.01,0.615,:g,0.00041,-3.35,0.64,:g,<0.0001,-4.09
subject_31_session_01,0.575,:n,0.01443,-2.19,0.665,:g,<0.0001,-5.0,0.565,:n,0.03264,-1.84
subject_35_session_01,0.8,:g,<0.0001,-10.49,0.85,:g,<0.0001,-13.93,0.885,:g,<0.0001,-17.47
subject_36_session_01,0.58944,:g,0.0047,-2.6,0.68722,:g,<0.0001,-5.68,0.64056,:g,<0.0001,-4.26
subject_37_session_01,0.75,:g,<0.0001,-8.08,0.695,:g,<0.0001,-5.97,0.7,:g,<0.0001,-6.12
subject_39_session_01,0.605,:g,0.00123,-3.03,0.68,:g,<0.0001,-5.41,0.65,:g,<0.0001,-4.45
subject_41_session_01,0.765,:g,<0.0001,-8.91,0.825,:g,<0.0001,-12.07,0.77,:g,<0.0001,-9.03
subject_43_session_01,0.745,:g,<0.0001,-7.95,0.96,:g,<0.0001,-33.19,0.98,:g,<0.0001,-48.0
subject_44_session_01,0.745,:g,<0.0001,-7.99,0.79,:g,<0.0001,-10.09,0.77,:g,<0.0001,-8.96
subject_46_session_01,0.61667,:g,0.0001,-3.71,0.77083,:g,<0.0001,-9.96,0.75,:g,<0.0001,-8.83
subject_47_session_01,0.565,:n,0.03364,-1.83,0.675,:g,<0.0001,-5.22,0.655,:g,<0.0001,-4.56
subject_48_session_01,0.725,:g,<0.0001,-7.33,0.77,:g,<0.0001,-9.13,0.825,:g,<0.0001,-12.2
subject_49_session_01,0.725,:g,<0.0001,-7.01,0.82,:g,<0.0001,-11.6,0.745,:g,<0.0001,-7.9
subject_50_session_01,0.73,:g,<0.0001,-7.23,0.925,:g,<0.0001,-22.51,0.78,:g,<0.0001,-9.46
subject_52_session_01,0.59,:g,0.00465,-2.6,0.765,:g,<0.0001,-8.92,0.61,:g,0.00084,-3.14
