subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_002_session_01,0.63333,:n,0.02005,-2.05,0.80833,:g,<0.0001,-4.97,0.90833,:g,<0.0001,-8.52
subject_004_session_01,0.55,:b,0.30648,-0.51,0.725,:n,0.00981,-2.33,0.55,:b,0.43664,-0.16
subject_007_session_01,0.85833,:g,<0.0001,-6.66,0.9,:g,<0.0001,-9.07,0.98333,:g,<0.0001,-22.51
subject_011_session_01,0.3,:b,0.99798,2.88,0.69167,:g,0.00386,-2.66,0.55,:b,0.2076,-0.81
subject_012_session_01,0.525,:b,0.36793,-0.34,0.6,:b,0.08522,-1.37,0.61667,:b,0.08522,-1.37
subject_013_session_01,0.4,:b,0.90695,1.32,0.725,:g,0.0005,-3.29,0.53333,:b,0.33361,-0.43
subject_015_session_01,0.54167,:b,0.37787,-0.31,0.68333,:n,0.01472,-2.18,0.65,:n,0.0331,-1.84
subject_022_session_01,0.575,:b,0.17423,-0.94,0.875,:g,<0.0001,-6.35,0.725,:n,0.00717,-2.45
subject_024_session_01,0.29167,:b,0.99764,2.83,0.875,:g,<0.0001,-7.88,0.54167,:b,0.31111,-0.49
subject_025_session_01,0.525,:b,0.38485,-0.29,0.75,:g,0.00053,-3.27,0.5,:b,0.5,0.0
subject_026_session_01,0.33333,:b,0.99569,2.63,0.65833,:g,0.00393,-2.66,0.5,:b,0.31952,-0.47
subject_029_session_01,0.54167,:b,0.29575,-0.54,1.0,:g,<0.0001,-Inf,0.84167,:g,<0.0001,-6.04
subject_030_session_01,0.325,:b,0.9831,2.12,0.475,:b,0.65026,0.39,0.55,:b,0.38769,-0.29
subject_031_session_01,0.58333,:b,0.10347,-1.26,0.90833,:g,<0.0001,-9.17,0.79167,:g,<0.0001,-4.2
subject_032_session_01,0.44167,:b,0.76049,0.71,0.825,:g,<0.0001,-5.31,0.50833,:b,0.35815,-0.36
subject_034_session_01,0.75833,:g,<0.0001,-4.49,0.9,:g,<0.0001,-8.5,0.63333,:n,0.04644,-1.68
subject_035_session_01,0.51667,:b,0.44825,-0.13,0.95,:g,<0.0001,-13.35,0.66667,:n,0.0133,-2.22
subject_036_session_01,0.375,:b,0.96574,1.82,0.59167,:b,0.10899,-1.23,0.45,:b,0.70869,0.55
subject_042_session_01,0.9,:g,<0.0001,-8.49,0.975,:g,<0.0001,-20.15,0.93333,:g,<0.0001,-10.9
subject_043_session_01,0.41667,:b,0.85885,1.08,0.74167,:g,0.00017,-3.59,0.75833,:g,0.00021,-3.53
subject_045_session_01,0.35,:b,0.98005,2.05,0.75,:g,<0.0001,-4.5,0.55,:b,0.29194,-0.55
subject_048_session_01,0.55,:b,0.24056,-0.7,0.91667,:g,<0.0001,-10.17,0.55833,:b,0.33188,-0.43
subject_049_session_01,0.49167,:b,0.5,0.0,0.88333,:g,<0.0001,-7.28,0.75,:g,0.00015,-3.62
subject_051_session_01,0.675,:n,0.0243,-1.97,0.775,:g,<0.0001,-3.89,0.5,:b,0.19658,-0.85
subject_052_session_01,0.6,:b,0.05252,-1.62,0.7,:g,0.00155,-2.96,0.5,:b,0.24421,-0.69
