subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_02_session_01,0.6325,:g,0.00462,-2.6,0.63,:g,0.00483,-2.59,0.6875,:g,<0.0001,-4.04
subject_04_session_01,0.545,:b,0.19416,-0.86,0.59,:b,0.07437,-1.44,0.4875,:b,0.58172,0.21
subject_05_session_01,0.6125,:n,0.01751,-2.11,0.59,:b,0.0689,-1.48,0.48,:b,0.65845,0.41
subject_06_session_01,0.7425,:g,<0.0001,-5.3,0.7625,:g,<0.0001,-5.86,0.6825,:g,0.00022,-3.51
subject_08_session_01,0.59,:n,0.02682,-1.93,0.6625,:g,0.00113,-3.06,0.6825,:g,0.00019,-3.56
subject_09_session_01,0.6925,:g,<0.0001,-4.16,0.775,:g,<0.0001,-6.15,0.7475,:g,<0.0001,-5.15
subject_10_session_01,0.5925,:n,0.03884,-1.76,0.695,:g,<0.0001,-3.89,0.6325,:n,0.01191,-2.26
subject_11_session_01,0.6125,:n,0.02458,-1.97,0.7,:g,<0.0001,-3.89,0.6575,:g,0.00118,-3.04
subject_12_session_01,0.6575,:g,0.00113,-3.06,0.76,:g,<0.0001,-5.82,0.585,:n,0.04675,-1.68
subject_13_session_01,0.53,:b,0.29068,-0.55,0.59,:b,0.05263,-1.62,0.4725,:b,0.70231,0.53
subject_14_session_01,0.76,:g,<0.0001,-5.7,0.75,:g,<0.0001,-5.5,0.66,:g,0.00057,-3.25
subject_15_session_01,0.59,:n,0.04585,-1.69,0.5875,:n,0.04585,-1.69,0.55,:b,0.14592,-1.05
subject_17_session_01,0.6,:n,0.0254,-1.95,0.6175,:n,0.01355,-2.21,0.515,:b,0.39153,-0.28
subject_18_session_01,0.57,:b,0.0722,-1.46,0.5925,:n,0.04585,-1.69,0.5225,:b,0.33578,-0.42
subject_19_session_01,0.775,:g,<0.0001,-6.25,0.845,:g,<0.0001,-9.24,0.7575,:g,<0.0001,-5.71
subject_20_session_01,0.535,:b,0.29377,-0.54,0.625,:n,0.01281,-2.23,0.635,:n,0.01122,-2.28
subject_21_session_01,0.595,:n,0.02959,-1.89,0.645,:g,0.0024,-2.82,0.5525,:b,0.14725,-1.05
subject_22_session_01,0.5525,:b,0.14044,-1.08,0.5825,:b,0.0678,-1.49,0.4925,:b,0.58395,0.21
subject_23_session_01,0.6875,:g,<0.0001,-3.73,0.6675,:g,0.00057,-3.25,0.615,:n,0.0136,-2.21
