subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.84583,:g,<0.0001,-15.25,0.9375,:g,<0.0001,-28.02,0.95,:g,<0.0001,-32.12
subject_02_session_01,0.97558,:g,<0.0001,-67.75,0.98783,:g,<0.0001,-97.43,0.98175,:g,<0.0001,-78.88
subject_03_session_01,0.96538,:g,<0.0001,-58.0,0.99423,:g,<0.0001,-148.38,0.99808,:g,<0.0001,-259.0
subject_04_session_01,0.99444,:g,<0.0001,-151.12,0.99245,:g,<0.0001,-130.38,0.9906,:g,<0.0001,-115.93
subject_05_session_01,0.98636,:g,<0.0001,-88.05,0.98636,:g,<0.0001,-88.05,0.99545,:g,<0.0001,-154.15
subject_06_session_01,0.89038,:g,<0.0001,-28.56,0.98846,:g,<0.0001,-104.04,0.98462,:g,<0.0001,-89.54
subject_07_session_01,0.62508,:g,<0.0001,-6.04,0.93808,:g,<0.0001,-41.18,0.96323,:g,<0.0001,-56.1
subject_08_session_01,0.86452,:g,<0.0001,-21.81,0.98048,:g,<0.0001,-69.71,0.99512,:g,<0.0001,-142.11
subject_09_session_01,0.65577,:g,<0.0001,-7.46,0.82885,:g,<0.0001,-19.79,0.86346,:g,<0.0001,-24.52
subject_10_session_01,0.775,:g,<0.0001,-15.14,0.96923,:g,<0.0001,-61.68,0.97692,:g,<0.0001,-72.42
subject_12_session_01,0.96538,:g,<0.0001,-59.84,0.99423,:g,<0.0001,-148.38,0.99808,:g,<0.0001,-259.0
subject_13_session_01,0.91458,:g,<0.0001,-32.7,0.96458,:g,<0.0001,-54.78,0.96667,:g,<0.0001,-57.39
subject_14_session_01,0.73846,:g,<0.0001,-12.77,0.98077,:g,<0.0001,-79.53,0.95577,:g,<0.0001,-50.46
