subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.82667,:g,<0.0001,-9.52,0.89833,:g,<0.0001,-14.78,0.81167,:g,<0.0001,-8.56
subject_01_session_02,0.86,:g,<0.0001,-10.3,0.87,:g,<0.0001,-10.63,0.8,:g,<0.0001,-7.4
subject_01_session_03,0.83,:g,<0.0001,-8.65,0.87,:g,<0.0001,-10.94,0.72,:g,<0.0001,-4.81
subject_02_session_01,0.9075,:g,<0.0001,-13.74,0.9275,:g,<0.0001,-16.15,0.8775,:g,<0.0001,-11.54
subject_02_session_02,0.9775,:g,<0.0001,-29.89,0.9775,:g,<0.0001,-29.89,0.9875,:g,<0.0001,-43.26
subject_02_session_03,0.95,:g,<0.0001,-20.12,0.95,:g,<0.0001,-20.12,0.89,:g,<0.0001,-12.54
subject_03_session_01,0.86,:g,<0.0001,-10.34,0.97,:g,<0.0001,-28.06,0.99,:g,<0.0001,-48.75
subject_03_session_02,0.73,:g,<0.0001,-5.05,0.93,:g,<0.0001,-17.09,0.82,:g,<0.0001,-8.11
subject_03_session_03,0.86,:g,<0.0001,-10.12,0.93,:g,<0.0001,-17.09,0.89,:g,<0.0001,-12.54
subject_04_session_01,0.925,:g,<0.0001,-14.63,0.935,:g,<0.0001,-16.26,0.9625,:g,<0.0001,-25.33
subject_04_session_03,0.88,:g,<0.0001,-11.4,0.96,:g,<0.0001,-23.0,0.87,:g,<0.0001,-10.94
