subject-session,accMDM,accENLR
subject_01_session_01,0.73729,0.8516
subject_01_session_02,0.7584,0.84986
subject_01_session_03,0.74882,0.84549
subject_02_session_01,0.84868,0.86438
subject_02_session_02,0.90645,0.84452
subject_02_session_03,0.87931,0.85486
subject_03_session_01,0.70559,0.65353
subject_03_session_02,0.8346,0.83215
subject_03_session_03,0.80062,0.85944
subject_04_session_01,0.8517,0.88244
subject_04_session_02,0.85862,0.84992
subject_04_session_03,0.7891,0.85958
subject_05_session_01,0.90588,0.87759
subject_05_session_02,0.88781,0.83937
subject_05_session_03,0.87039,0.86864
subject_06_session_01,0.82495,0.77033
subject_06_session_02,0.74958,0.76785
subject_06_session_03,0.84549,0.8534
subject_07_session_01,0.74053,0.7924
subject_07_session_02,0.78986,0.77736
subject_07_session_03,0.69891,0.72933
subject_08_session_01,0.73,0.78632
subject_08_session_02,0.71597,0.78806
subject_08_session_03,0.72861,0.67375
subject_09_session_01,0.78047,0.89478
subject_09_session_02,0.70625,0.87493
subject_09_session_03,0.63813,0.83271
subject_10_session_01,0.911,0.89954
subject_10_session_02,0.90777,0.88949
subject_10_session_03,0.88268,0.89624
