subject-session,accMDM,accENLR
subject_01_session_01,0.74328,0.76641
subject_02_session_01,0.76689,0.78418
subject_03_session_01,0.8966,0.92747
subject_04_session_01,0.75554,0.67927
subject_05_session_01,0.83583,0.81417
subject_06_session_01,0.7925,0.81
subject_07_session_01,0.78417,0.8575
subject_08_session_01,0.81917,0.79583
subject_09_session_01,0.8337,0.84005
subject_10_session_01,0.62797,0.67258
subject_11_session_01,0.85533,0.87397
subject_12_session_01,0.82123,0.83134
subject_13_session_01,0.74191,0.8365
subject_14_session_01,0.81333,0.74667
subject_15_session_01,0.75625,0.75875
subject_16_session_01,0.78553,0.81714
subject_17_session_01,0.8325,0.79833
subject_18_session_01,0.65056,0.83654
subject_19_session_01,0.91411,0.91956
subject_20_session_01,0.79549,0.84009
subject_21_session_01,0.78304,0.81744
