subject-session,accMDM,accENLR
subject_06_session_02,0.68819,0.56389
subject_06_session_03,0.6,0.74286
subject_06_session_04,0.6,0.575
subject_07_session_01,0.66319,0.68333
subject_07_session_02,0.68136,0.62303
subject_07_session_03,0.725,0.64583
subject_07_session_04,0.68212,0.73667
subject_08_session_01,0.865,0.78889
subject_08_session_02,0.68444,0.785
subject_08_session_03,0.82333,0.68389
subject_08_session_04,0.845,0.74333
subject_09_session_01,0.56875,0.50625
subject_09_session_02,0.63333,0.70444
subject_09_session_03,0.56944,0.76319
subject_09_session_04,0.5447,0.49712
