subject-session,accMDM,accENLR
subject_06_session_01,0.56875,0.69375
subject_06_session_02,0.825,0.70625
subject_06_session_03,0.675,0.85
subject_07_session_01,0.58944,0.95
subject_07_session_02,0.775,0.9
subject_07_session_03,0.72045,0.77424
subject_07_session_04,0.745,0.66091
subject_08_session_01,0.8,0.86944
subject_08_session_02,0.76591,0.8697
subject_08_session_03,0.825,0.76786
subject_08_session_04,0.5875,0.825
subject_09_session_01,0.61597,0.79375
subject_09_session_02,0.82,0.75
subject_09_session_03,0.655,0.66
subject_09_session_04,0.62722,0.58333
