subject-session,accMDM,accENLR
subject_06_session_01,0.7,0.66944
subject_06_session_02,0.56875,0.55625
subject_07_session_01,0.64,0.69
subject_07_session_02,0.67,0.75
subject_07_session_03,0.54242,0.5
subject_07_session_04,0.63889,0.57222
subject_08_session_01,0.795,0.85
subject_08_session_02,0.69803,0.77424
subject_08_session_03,0.735,0.77
subject_08_session_04,0.85,0.72083
subject_09_session_01,0.65333,0.55944
subject_09_session_02,0.74636,0.73591
subject_09_session_03,0.63833,0.64833
subject_09_session_04,0.56944,0.57778
