subject-session,accMDM,accENLR
subject_01_session_01,0.71567,0.79878
subject_02_session_01,0.75773,0.83234
subject_04_session_01,0.76319,0.92084
subject_05_session_01,0.73874,0.79554
subject_06_session_01,0.74887,0.81057
subject_07_session_01,0.7722,0.7978
subject_08_session_01,0.74887,0.81057
subject_09_session_01,0.69914,0.82861
subject_10_session_01,0.75077,0.77061
subject_11_session_01,0.67356,0.78348
subject_12_session_01,0.76262,0.92158
subject_13_session_01,0.70808,0.77535
subject_14_session_01,0.75358,0.6963
subject_15_session_01,0.72625,0.79692
subject_16_session_01,0.77782,0.81468
subject_17_session_01,0.66673,0.77222
subject_18_session_01,0.68197,0.82024
subject_19_session_01,0.76721,0.82217
subject_20_session_01,0.705,0.77243
subject_21_session_01,0.73208,0.72625
subject_22_session_01,0.74676,0.85214
subject_23_session_01,0.75054,0.8279
subject_24_session_01,0.71563,0.71679
subject_25_session_01,0.78107,0.86847
