subject-session,accMDM,accENLR
subject_01_session_01,0.81572,0.86667
subject_01_session_02,0.85536,0.85119
subject_01_session_04,0.80995,0.92281
subject_01_session_06,0.82322,0.80215
subject_01_session_07,0.67656,0.86155
subject_01_session_08,0.86583,0.88
subject_02_session_01,0.81661,0.79118
subject_02_session_02,0.87753,0.86322
subject_02_session_03,0.91924,0.85407
subject_02_session_04,0.92241,0.87801
subject_02_session_05,0.90899,0.88293
subject_02_session_06,0.81883,0.7705
subject_02_session_07,0.90245,0.87259
subject_02_session_08,0.88754,0.85476
subject_03_session_01,0.76202,0.74851
subject_03_session_02,0.7836,0.76947
subject_03_session_03,0.84847,0.83995
subject_03_session_04,0.81358,0.81088
subject_03_session_05,0.87501,0.86716
subject_03_session_06,0.8266,0.78848
subject_03_session_07,0.81692,0.77606
subject_03_session_08,0.75226,0.72378
subject_04_session_01,0.84349,0.88494
subject_04_session_02,0.81629,0.80218
subject_04_session_03,0.80699,0.80862
subject_04_session_04,0.7837,0.7884
subject_04_session_05,0.87021,0.84169
subject_04_session_06,0.82453,0.80479
subject_04_session_07,0.905,0.8775
subject_04_session_08,0.89314,0.83313
subject_05_session_01,0.85792,0.85879
subject_05_session_02,0.90757,0.90302
subject_05_session_03,0.89743,0.82949
subject_05_session_04,0.91106,0.88676
subject_05_session_05,0.89928,0.88457
subject_05_session_06,0.89878,0.88192
subject_05_session_07,0.87464,0.88861
subject_05_session_08,0.86166,0.87835
subject_06_session_01,0.85391,0.82911
subject_06_session_02,0.82573,0.81085
subject_06_session_03,0.7971,0.8258
subject_06_session_04,0.78319,0.69233
subject_06_session_05,0.80747,0.73717
subject_06_session_06,0.79407,0.82521
subject_06_session_07,0.85232,0.82554
subject_07_session_01,0.85686,0.90043
subject_07_session_02,0.8825,0.93
subject_07_session_03,0.80267,0.89654
subject_07_session_04,0.84875,0.89875
subject_07_session_05,0.85635,0.91234
subject_07_session_06,0.91202,0.92109
subject_07_session_07,0.87837,0.94141
subject_07_session_08,0.8426,0.89865
subject_08_session_01,0.86211,0.83239
subject_09_session_01,0.84327,0.84107
subject_10_session_01,0.91167,0.87486
subject_11_session_01,0.91536,0.89578
subject_12_session_01,0.8462,0.88177
subject_13_session_01,0.86471,0.89725
subject_14_session_01,0.89498,0.83875
subject_15_session_01,0.94013,0.91278
subject_16_session_01,0.8399,0.84115
subject_17_session_01,0.80304,0.76103
subject_18_session_01,0.94326,0.904
subject_19_session_01,0.65745,0.76388
subject_20_session_01,0.81313,0.76393
subject_21_session_01,0.9015,0.92308
subject_22_session_01,0.84938,0.8575
subject_23_session_01,0.7556,0.78431
subject_24_session_01,0.85245,0.78228
