subject-session,accMDM,accENLR
subject_01_session_01,0.85379,0.91971
subject_01_session_02,0.77078,0.8556
subject_01_session_03,0.84395,0.80726
subject_01_session_05,0.8681,0.84989
subject_01_session_06,0.92138,0.80316
subject_01_session_07,0.69852,0.8784
subject_01_session_08,0.85167,0.84038
subject_02_session_01,0.9118,0.88968
subject_02_session_02,0.83976,0.88025
subject_02_session_03,0.91068,0.88456
subject_02_session_04,0.91913,0.85643
subject_02_session_05,0.89887,0.87029
subject_02_session_07,0.898,0.88514
subject_02_session_08,0.83631,0.82223
subject_03_session_01,0.78965,0.80919
subject_03_session_02,0.8136,0.76111
subject_03_session_03,0.8544,0.80232
subject_03_session_04,0.84896,0.79474
subject_03_session_05,0.80409,0.80112
subject_03_session_06,0.81233,0.75845
subject_03_session_07,0.82728,0.8097
subject_03_session_08,0.77228,0.72924
subject_04_session_01,0.81376,0.82481
subject_04_session_02,0.77782,0.8174
subject_04_session_03,0.83312,0.81812
subject_04_session_04,0.86628,0.84866
subject_04_session_05,0.833,0.79644
subject_04_session_06,0.82924,0.76769
subject_04_session_07,0.88933,0.83736
subject_04_session_08,0.83437,0.86662
subject_05_session_01,0.80206,0.83476
subject_05_session_02,0.90703,0.89143
subject_05_session_03,0.88625,0.88013
subject_05_session_04,0.87266,0.86185
subject_05_session_05,0.90857,0.92571
subject_05_session_06,0.93606,0.86349
subject_05_session_07,0.85108,0.85216
subject_05_session_08,0.88239,0.87803
subject_06_session_01,0.8087,0.81546
subject_06_session_02,0.85866,0.86824
subject_06_session_03,0.83038,0.78266
subject_06_session_04,0.81508,0.79746
subject_06_session_05,0.82833,0.7453
subject_06_session_06,0.82329,0.81611
subject_06_session_07,0.78741,0.80776
subject_06_session_08,0.79885,0.74056
subject_07_session_01,0.82998,0.88248
subject_07_session_02,0.925,0.9325
subject_07_session_03,0.85067,0.89615
subject_07_session_04,0.83215,0.89622
subject_07_session_05,0.91272,0.9351
subject_07_session_06,0.81058,0.87484
subject_07_session_07,0.80364,0.89867
subject_07_session_08,0.85488,0.87638
subject_08_session_01,0.85118,0.86804
subject_09_session_01,0.82947,0.83551
subject_10_session_01,0.8806,0.86244
subject_11_session_01,0.88661,0.87809
subject_12_session_01,0.80955,0.81826
subject_13_session_01,0.70839,0.67787
subject_14_session_01,0.8775,0.89453
subject_15_session_01,0.93799,0.91594
subject_16_session_01,0.83224,0.84612
subject_17_session_01,0.79389,0.80409
subject_18_session_01,0.92177,0.93059
subject_19_session_01,0.77593,0.78019
subject_20_session_01,0.81148,0.82273
subject_21_session_01,0.93842,0.92148
subject_22_session_01,0.8677,0.89325
subject_23_session_01,0.88905,0.86815
subject_24_session_01,0.80006,0.84768
