subject-session,accMDM,accENLR
subject_01_session_01,0.74332,0.79793
subject_02_session_01,0.83346,0.78938
subject_03_session_01,0.67093,0.70412
subject_04_session_01,0.69049,0.73001
subject_05_session_01,0.75331,0.79422
subject_06_session_01,0.87089,0.93804
subject_07_session_01,0.6219,0.7455
subject_08_session_01,0.89844,0.81907
subject_09_session_01,0.68044,0.68676
subject_10_session_01,0.76322,0.82006
subject_11_session_01,0.68624,0.77022
subject_12_session_01,0.79121,0.74762
subject_13_session_01,0.72971,0.78929
subject_14_session_01,0.81168,0.84173
subject_15_session_01,0.72311,0.76909
subject_16_session_01,0.81842,0.85531
subject_17_session_01,0.74421,0.79035
subject_18_session_01,0.73525,0.75589
subject_19_session_01,0.78356,0.82528
subject_20_session_01,0.8217,0.85648
subject_21_session_01,0.76257,0.73077
subject_22_session_01,0.83716,0.8257
subject_23_session_01,0.77278,0.89293
subject_24_session_01,0.84778,0.81222
subject_25_session_01,0.75445,0.82137
subject_26_session_01,0.74867,0.86713
subject_27_session_01,0.80233,0.85186
subject_28_session_01,0.79636,0.83954
subject_29_session_01,0.7192,0.68076
subject_30_session_01,0.79692,0.82609
subject_31_session_01,0.66871,0.73367
subject_32_session_01,0.87555,0.93427
subject_33_session_01,0.66895,0.66976
subject_34_session_01,0.63052,0.64317
subject_35_session_01,0.7729,0.77811
subject_37_session_01,0.73079,0.69408
subject_38_session_01,0.62546,0.67812
subject_39_session_01,0.83299,0.79818
subject_40_session_01,0.80606,0.79126
subject_41_session_01,0.73357,0.71909
subject_42_session_01,0.60701,0.68701
subject_43_session_01,0.8311,0.78004
subject_44_session_01,0.77373,0.80883
subject_45_session_01,0.65317,0.71476
subject_47_session_01,0.61352,0.71623
subject_48_session_01,0.59484,0.64355
subject_49_session_01,0.67474,0.72465
subject_50_session_01,0.67404,0.79144
subject_51_session_01,0.72036,0.75861
subject_53_session_01,0.69343,0.70836
subject_54_session_01,0.76655,0.77035
subject_55_session_01,0.71359,0.85494
subject_56_session_01,0.75669,0.76563
subject_58_session_01,0.79266,0.79273
subject_59_session_01,0.81607,0.78476
subject_60_session_01,0.75368,0.79304
subject_61_session_01,0.66916,0.70953
