subject-session,accMDM,accENLR
subject_03_session_03,0.86167,0.95667
subject_04_session_03,0.88433,0.90704
subject_05_session_03,0.885,0.895
subject_06_session_03,0.78214,0.85655
subject_07_session_03,0.81633,0.83431
subject_08_session_03,0.81285,0.85833
subject_09_session_03,0.82186,0.87781
subject_10_session_03,0.81527,0.87121
subject_11_session_03,0.81079,0.81484
subject_12_session_03,0.70074,0.73996
subject_13_session_03,0.89729,0.83972
subject_14_session_03,0.75248,0.73373
subject_15_session_03,0.82361,0.82649
subject_16_session_03,0.76889,0.84098
subject_17_session_03,0.83496,0.74835
subject_18_session_03,0.72444,0.80925
subject_19_session_03,0.73667,0.76778
subject_20_session_03,0.79678,0.8467
subject_22_session_03,0.80333,0.82
subject_23_session_03,0.73167,0.74833
subject_24_session_03,0.85925,0.85169
subject_25_session_03,0.75903,0.75125
subject_26_session_03,0.91591,0.89805
subject_27_session_03,0.74666,0.72561
subject_28_session_03,0.81444,0.77556
subject_29_session_03,0.79,0.83083
subject_30_session_03,0.92012,0.8808
subject_31_session_03,0.6656,0.72459
subject_32_session_03,0.815,0.88167
subject_33_session_03,0.84931,0.84454
subject_34_session_03,0.86439,0.8224
subject_35_session_03,0.67203,0.6741
subject_37_session_03,0.7495,0.7568
subject_38_session_03,0.81944,0.81603
subject_39_session_03,0.70663,0.69688
subject_40_session_03,0.84426,0.82197
subject_41_session_03,0.73643,0.83125
subject_42_session_03,0.6864,0.67687
subject_43_session_03,0.91,0.915
