subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.86786,:g,<0.0001,-12.66,0.86071,:g,<0.0001,-12.98,0.84643,:g,<0.0001,-11.44
subject_01_session_02,0.86786,:g,<0.0001,-13.88,0.86964,:g,<0.0001,-13.46,0.84196,:g,<0.0001,-11.67
subject_02_session_01,0.61071,:g,0.00334,-2.71,0.55268,:b,0.11366,-1.21,0.62232,:g,0.0016,-2.95
subject_02_session_02,0.53839,:b,0.19497,-0.86,0.58125,:n,0.03267,-1.84,0.58125,:n,0.02705,-1.93
subject_03_session_01,0.95893,:g,<0.0001,-27.73,0.95804,:g,<0.0001,-27.21,0.94018,:g,<0.0001,-22.26
subject_03_session_02,0.95893,:g,<0.0001,-27.98,0.95804,:g,<0.0001,-27.03,0.95089,:g,<0.0001,-26.09
subject_04_session_01,0.70089,:g,<0.0001,-5.19,0.65089,:g,<0.0001,-3.77,0.68125,:g,<0.0001,-4.63
subject_04_session_02,0.75446,:g,<0.0001,-7.26,0.79732,:g,<0.0001,-8.96,0.83304,:g,<0.0001,-10.7
subject_05_session_01,0.59554,:n,0.00989,-2.33,0.56964,:b,0.052,-1.63,0.50446,:b,0.45412,-0.12
subject_05_session_02,0.62321,:g,0.00093,-3.11,0.54464,:b,0.15722,-1.01,0.60625,:n,0.00539,-2.55
subject_06_session_01,0.72857,:g,<0.0001,-6.15,0.7,:g,<0.0001,-5.2,0.76339,:g,<0.0001,-7.37
subject_06_session_02,0.63839,:g,0.00032,-3.41,0.70982,:g,<0.0001,-5.4,0.76786,:g,<0.0001,-7.38
subject_07_session_01,0.73929,:g,<0.0001,-6.75,0.76339,:g,<0.0001,-7.24,0.77321,:g,<0.0001,-7.61
subject_07_session_02,0.88304,:g,<0.0001,-14.28,0.89286,:g,<0.0001,-15.03,0.94375,:g,<0.0001,-23.24
subject_08_session_01,0.95089,:g,<0.0001,-25.3,0.97143,:g,<0.0001,-35.58,0.97143,:g,<0.0001,-33.47
subject_08_session_02,0.95,:g,<0.0001,-25.14,0.94286,:g,<0.0001,-23.38,0.95714,:g,<0.0001,-27.21
subject_09_session_01,0.7625,:g,<0.0001,-7.27,0.83036,:g,<0.0001,-10.63,0.75536,:g,<0.0001,-7.01
subject_09_session_02,0.86518,:g,<0.0001,-12.47,0.93393,:g,<0.0001,-20.72,0.85268,:g,<0.0001,-11.45
