subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.92857,:g,<0.0001,-19.79,0.95714,:g,<0.0001,-27.03,0.92946,:g,<0.0001,-19.73
subject_01_session_02,0.97143,:g,<0.0001,-33.47,0.97143,:g,<0.0001,-34.13,0.97857,:g,<0.0001,-40.28
subject_02_session_01,0.94464,:g,<0.0001,-23.4,0.92232,:g,<0.0001,-19.23,0.89018,:g,<0.0001,-14.49
subject_02_session_02,0.875,:g,<0.0001,-13.83,0.88125,:g,<0.0001,-13.94,0.86964,:g,<0.0001,-13.05
subject_03_session_01,0.90268,:g,<0.0001,-16.03,0.95804,:g,<0.0001,-27.21,0.97232,:g,<0.0001,-34.11
subject_03_session_02,0.91786,:g,<0.0001,-18.34,0.97946,:g,<0.0001,-39.71,0.94732,:g,<0.0001,-24.27
subject_04_session_01,0.77321,:g,<0.0001,-7.55,0.82946,:g,<0.0001,-10.24,0.81339,:g,<0.0001,-9.48
subject_04_session_02,0.89821,:g,<0.0001,-15.41,0.92589,:g,<0.0001,-19.13,0.93839,:g,<0.0001,-21.19
subject_05_session_01,0.57768,:n,0.02763,-1.92,0.65714,:g,<0.0001,-3.92,0.66964,:g,<0.0001,-4.26
subject_05_session_02,0.69732,:g,<0.0001,-5.04,0.70179,:g,<0.0001,-5.18,0.59911,:n,0.00895,-2.37
subject_06_session_01,0.67411,:g,<0.0001,-4.51,0.78571,:g,<0.0001,-8.19,0.75089,:g,<0.0001,-6.88
subject_06_session_02,0.68571,:g,<0.0001,-4.79,0.78036,:g,<0.0001,-8.19,0.80625,:g,<0.0001,-9.02
subject_07_session_01,0.96518,:g,<0.0001,-30.18,0.97232,:g,<0.0001,-34.11,0.95804,:g,<0.0001,-27.39
subject_07_session_02,0.97946,:g,<0.0001,-40.8,0.97321,:g,<0.0001,-34.71,0.95982,:g,<0.0001,-27.54
subject_08_session_01,0.92946,:g,<0.0001,-20.65,0.87946,:g,<0.0001,-13.83,0.87232,:g,<0.0001,-13.47
subject_08_session_02,0.90893,:g,<0.0001,-17.34,0.86696,:g,<0.0001,-12.99,0.88214,:g,<0.0001,-14.13
subject_09_session_01,0.76964,:g,<0.0001,-7.7,0.82679,:g,<0.0001,-10.33,0.75179,:g,<0.0001,-6.93
subject_09_session_02,0.92411,:g,<0.0001,-19.1,0.91696,:g,<0.0001,-17.85,0.95089,:g,<0.0001,-24.71
