subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.74167,:g,<0.0001,-5.91,0.75833,:g,<0.0001,-6.44,0.75,:g,<0.0001,-6.32
subject_01_session_02,0.675,:g,<0.0001,-4.03,0.64167,:g,0.00065,-3.22,0.63333,:g,0.00109,-3.06
subject_02_session_01,0.625,:g,0.0026,-2.79,0.71667,:g,<0.0001,-5.17,0.64167,:g,0.00069,-3.2
subject_02_session_02,0.61667,:g,0.00472,-2.6,0.6,:n,0.01212,-2.25,0.625,:g,0.0022,-2.85
subject_03_session_01,0.525,:b,0.29335,-0.54,0.58333,:n,0.03603,-1.8,0.575,:b,0.05197,-1.63
subject_03_session_02,0.51667,:b,0.35709,-0.37,0.59167,:n,0.02312,-1.99,0.6,:n,0.01471,-2.18
subject_04_session_01,0.85,:g,<0.0001,-10.62,0.88333,:g,<0.0001,-12.8,0.86667,:g,<0.0001,-12.08
subject_04_session_02,0.87143,:g,<0.0001,-13.06,0.87857,:g,<0.0001,-13.61,0.86429,:g,<0.0001,-12.54
subject_05_session_01,0.525,:b,0.28992,-0.55,0.51667,:b,0.35912,-0.36,0.55833,:b,0.09821,-1.29
subject_05_session_02,0.68571,:g,<0.0001,-4.85,0.72857,:g,<0.0001,-6.13,0.7,:g,<0.0001,-5.18
subject_06_session_01,0.71667,:g,<0.0001,-5.14,0.78333,:g,<0.0001,-7.31,0.75,:g,<0.0001,-6.17
subject_06_session_02,0.74167,:g,<0.0001,-5.95,0.75833,:g,<0.0001,-6.62,0.75833,:g,<0.0001,-6.57
subject_07_session_01,0.63333,:g,0.00106,-3.07,0.675,:g,<0.0001,-4.11,0.63333,:g,0.00121,-3.03
subject_07_session_02,0.575,:n,0.04734,-1.67,0.625,:g,0.0022,-2.85,0.60833,:n,0.00789,-2.41
subject_08_session_01,0.6375,:g,0.00011,-3.69,0.61875,:g,0.001,-3.09,0.6125,:g,0.00181,-2.91
subject_08_session_02,0.60833,:n,0.00647,-2.49,0.6,:n,0.01079,-2.3,0.55,:b,0.13811,-1.09
subject_09_session_01,0.65,:g,0.00036,-3.38,0.625,:g,0.00297,-2.75,0.625,:g,0.00297,-2.75
subject_09_session_02,0.575,:b,0.05197,-1.63,0.61667,:g,0.00495,-2.58,0.58333,:n,0.03394,-1.83
