subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.535,:b,0.25759,-0.65,0.82,:g,<0.0001,-8.04,0.635,:n,0.00526,-2.56
subject_01_session_02,0.56,:b,0.1169,-1.19,0.8225,:g,<0.0001,-7.67,0.69,:g,<0.0001,-3.81
subject_02_session_01,0.62,:n,0.00738,-2.44,0.9,:g,<0.0001,-13.25,0.92,:g,<0.0001,-15.51
subject_02_session_02,0.71,:g,<0.0001,-4.57,0.93,:g,<0.0001,-16.71,0.7675,:g,<0.0001,-6.31
subject_03_session_01,0.665,:g,0.00043,-3.33,0.9125,:g,<0.0001,-13.89,0.845,:g,<0.0001,-9.16
subject_03_session_02,0.85,:g,<0.0001,-9.1,0.8975,:g,<0.0001,-12.61,0.91,:g,<0.0001,-13.49
subject_04_session_01,0.4125,:b,0.96171,1.77,0.3975,:b,0.9842,2.15,0.66,:g,0.00081,-3.15
subject_04_session_02,0.39167,:b,0.55044,0.13,0.41667,:b,0.25258,-0.67,0.5,:n,0.02935,-1.89
subject_05_session_01,0.79,:g,<0.0001,-7.28,0.92,:g,<0.0001,-15.28,0.82,:g,<0.0001,-8.49
subject_05_session_02,0.6,:n,0.01887,-2.08,0.8875,:g,<0.0001,-11.97,0.805,:g,<0.0001,-7.63
subject_06_session_01,0.6,:n,0.02347,-1.99,0.78,:g,<0.0001,-6.81,0.82,:g,<0.0001,-8.62
subject_06_session_02,0.76,:g,<0.0001,-6.17,0.83,:g,<0.0001,-8.58,0.75,:g,<0.0001,-5.61
subject_07_session_01,0.59,:n,0.0435,-1.71,0.6775,:g,<0.0001,-3.75,0.63,:g,0.00379,-2.67
subject_07_session_02,0.645,:g,0.00118,-3.04,0.88,:g,<0.0001,-11.48,0.76,:g,<0.0001,-5.99
subject_08_session_01,0.56,:b,0.11455,-1.2,0.77,:g,<0.0001,-6.38,0.61,:n,0.0139,-2.2
subject_08_session_02,0.5525,:b,0.13105,-1.12,0.6675,:g,0.00034,-3.39,0.575,:b,0.06959,-1.48
subject_09_session_01,0.65,:g,0.00078,-3.16,0.8,:g,<0.0001,-7.75,0.6975,:g,<0.0001,-4.29
subject_09_session_02,0.6775,:g,0.00011,-3.7,0.705,:g,<0.0001,-4.07,0.715,:g,<0.0001,-4.58
subject_10_session_01,0.62,:n,0.00738,-2.44,0.73,:g,<0.0001,-5.16,0.68,:g,<0.0001,-3.86
subject_10_session_02,0.66,:g,0.00046,-3.31,0.76,:g,<0.0001,-5.91,0.75,:g,<0.0001,-5.7
subject_11_session_01,0.56,:b,0.11865,-1.18,0.52,:b,0.34744,-0.39,0.64,:g,0.00116,-3.05
subject_11_session_02,0.58,:b,0.05361,-1.61,0.67,:g,0.00018,-3.56,0.64,:g,0.00156,-2.96
subject_12_session_01,0.58,:n,0.04487,-1.7,0.7425,:g,<0.0001,-5.43,0.6225,:g,0.00391,-2.66
subject_12_session_02,0.6,:n,0.02061,-2.04,0.77,:g,<0.0001,-6.59,0.7,:g,<0.0001,-4.33
subject_13_session_01,0.64,:g,0.00213,-2.86,0.68,:g,0.0001,-3.71,0.63,:g,0.00349,-2.7
subject_13_session_02,0.59,:n,0.03656,-1.79,0.63,:g,0.00466,-2.6,0.74,:g,<0.0001,-5.25
subject_14_session_01,0.58,:b,0.05833,-1.57,0.71,:g,<0.0001,-4.51,0.64,:g,0.00222,-2.84
subject_14_session_02,0.6275,:n,0.00609,-2.51,0.635,:g,0.00469,-2.6,0.6425,:g,0.00219,-2.85
subject_15_session_01,0.58,:b,0.05203,-1.63,0.76,:g,<0.0001,-6.21,0.83,:g,<0.0001,-8.78
subject_15_session_02,0.57,:b,0.08169,-1.39,0.87,:g,<0.0001,-10.73,0.87,:g,<0.0001,-10.73
subject_16_session_01,0.6025,:n,0.02882,-1.9,0.6625,:g,0.00038,-3.37,0.555,:b,0.10447,-1.26
subject_16_session_02,0.6325,:n,0.00527,-2.56,0.645,:g,0.00261,-2.79,0.835,:g,<0.0001,-7.88
subject_17_session_01,0.58,:n,0.04805,-1.66,0.88,:g,<0.0001,-11.29,0.7,:g,<0.0001,-4.47
subject_17_session_02,0.5875,:n,0.03914,-1.76,0.83,:g,<0.0001,-8.42,0.645,:g,0.00267,-2.79
subject_18_session_01,0.92,:g,<0.0001,-15.75,0.94,:g,<0.0001,-18.31,0.97,:g,<0.0001,-28.2
subject_18_session_02,0.705,:g,<0.0001,-4.44,0.815,:g,<0.0001,-7.76,0.825,:g,<0.0001,-8.15
subject_19_session_01,0.5725,:b,0.09453,-1.31,0.7425,:g,<0.0001,-5.36,0.675,:g,0.00023,-3.5
subject_19_session_02,0.56,:b,0.12066,-1.17,0.72,:g,<0.0001,-4.76,0.74,:g,<0.0001,-5.34
subject_20_session_01,0.5875,:n,0.04074,-1.74,0.82,:g,<0.0001,-8.02,0.7775,:g,<0.0001,-6.54
subject_20_session_02,0.595,:n,0.02841,-1.9,0.78,:g,<0.0001,-6.52,0.8075,:g,<0.0001,-7.63
subject_21_session_01,0.77,:g,<0.0001,-6.55,1.0,:g,<0.0001,-Inf,0.98,:g,<0.0001,-33.94
subject_21_session_02,0.97,:g,<0.0001,-28.2,0.99,:g,<0.0001,-49.0,1.0,:g,<0.0001,-Inf
subject_22_session_01,0.6,:n,0.01922,-2.07,0.84,:g,<0.0001,-9.23,0.79,:g,<0.0001,-7.28
subject_22_session_02,0.55,:b,0.16288,-0.98,0.71,:g,<0.0001,-4.63,0.59,:n,0.04036,-1.75
subject_23_session_01,0.78,:g,<0.0001,-6.86,0.85,:g,<0.0001,-9.71,0.78,:g,<0.0001,-6.86
subject_23_session_02,0.5925,:n,0.02828,-1.91,0.8575,:g,<0.0001,-9.78,0.8525,:g,<0.0001,-9.68
