subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_001_session_01,0.225,:b,0.99461,2.55,0.575,:b,0.25518,-0.66,0.5,:b,0.39406,-0.27
subject_002_session_01,0.63333,:n,0.02005,-2.05,0.80833,:g,<0.0001,-4.97,0.90833,:g,<0.0001,-8.52
subject_004_session_01,0.55,:b,0.30648,-0.51,0.725,:n,0.00981,-2.33,0.55,:b,0.43664,-0.16
subject_005_session_01,0.4,:b,0.70509,0.54,0.425,:b,0.53243,0.08,0.5,:b,0.13027,-1.13
subject_006_session_01,0.45,:b,0.7294,0.61,0.425,:b,0.7674,0.73,0.5,:b,0.5,0.0
subject_007_session_01,0.85833,:g,<0.0001,-6.66,0.9,:g,<0.0001,-9.07,0.98333,:g,<0.0001,-22.51
subject_008_session_01,0.25,:b,0.99966,3.4,0.38333,:b,0.90927,1.34,0.41667,:b,0.80041,0.84
subject_009_session_01,0.45833,:b,0.79888,0.84,0.525,:b,0.30262,-0.52,0.5,:b,0.2076,-0.81
subject_011_session_01,0.3,:b,0.99798,2.88,0.69167,:g,0.00386,-2.66,0.55,:b,0.2076,-0.81
subject_012_session_01,0.525,:b,0.36793,-0.34,0.6,:b,0.08522,-1.37,0.61667,:b,0.08522,-1.37
subject_013_session_01,0.4,:b,0.90695,1.32,0.725,:g,0.0005,-3.29,0.53333,:b,0.33361,-0.43
subject_014_session_01,0.45,:b,0.77046,0.74,0.375,:b,0.95213,1.67,0.575,:b,0.27794,-0.59
subject_015_session_01,0.54167,:b,0.37787,-0.31,0.68333,:n,0.01472,-2.18,0.65,:n,0.0331,-1.84
subject_016_session_01,0.375,:b,0.896,1.26,0.5,:b,0.3921,-0.27,0.475,:b,0.43414,-0.17
subject_017_session_01,0.35,:b,0.98718,2.23,0.35,:b,0.98404,2.15,0.475,:b,0.6335,0.34
subject_019_session_01,0.34167,:b,0.97947,2.04,0.44167,:b,0.76214,0.71,0.54167,:b,0.3121,-0.49
subject_021_session_01,0.3,:b,0.99847,2.96,0.4,:b,0.9317,1.49,0.525,:b,0.31497,-0.48
subject_022_session_01,0.575,:b,0.17423,-0.94,0.875,:g,<0.0001,-6.35,0.725,:n,0.00717,-2.45
subject_023_session_01,0.55,:b,0.23421,-0.73,0.54167,:b,0.27651,-0.59,0.58333,:b,0.12935,-1.13
subject_024_session_01,0.29167,:b,0.99764,2.83,0.875,:g,<0.0001,-7.88,0.54167,:b,0.31111,-0.49
subject_025_session_01,0.525,:b,0.38485,-0.29,0.75,:g,0.00053,-3.27,0.5,:b,0.5,0.0
subject_026_session_01,0.33333,:b,0.99569,2.63,0.65833,:g,0.00393,-2.66,0.5,:b,0.31952,-0.47
subject_027_session_01,0.55,:b,0.34255,-0.41,0.525,:b,0.46261,-0.09,0.6,:b,0.22308,-0.76
subject_028_session_01,0.425,:b,0.8327,0.96,0.35,:b,0.97111,1.9,0.4,:b,0.88966,1.22
subject_029_session_01,0.54167,:b,0.29575,-0.54,1.0,:g,<0.0001,-Inf,0.84167,:g,<0.0001,-6.04
subject_030_session_01,0.325,:b,0.9831,2.12,0.475,:b,0.65026,0.39,0.55,:b,0.38769,-0.29
subject_031_session_01,0.58333,:b,0.10347,-1.26,0.90833,:g,<0.0001,-9.17,0.79167,:g,<0.0001,-4.2
subject_032_session_01,0.44167,:b,0.76049,0.71,0.825,:g,<0.0001,-5.31,0.50833,:b,0.35815,-0.36
subject_033_session_01,0.49167,:b,0.61515,0.29,0.54167,:b,0.36944,-0.33,0.525,:b,0.5,0.0
subject_034_session_01,0.75833,:g,<0.0001,-4.49,0.9,:g,<0.0001,-8.5,0.63333,:n,0.04644,-1.68
subject_035_session_01,0.51667,:b,0.44825,-0.13,0.95,:g,<0.0001,-13.35,0.66667,:n,0.0133,-2.22
subject_036_session_01,0.375,:b,0.96574,1.82,0.59167,:b,0.10899,-1.23,0.45,:b,0.70869,0.55
subject_037_session_01,0.475,:b,0.61913,0.3,0.4,:b,0.83275,0.97,0.525,:b,0.34974,-0.39
subject_038_session_01,0.49167,:b,0.52542,0.06,0.49167,:b,0.52327,0.06,0.49167,:b,0.5229,0.06
subject_039_session_01,0.475,:b,0.54215,0.11,0.5,:b,0.42663,-0.18,0.675,:n,0.00832,-2.39
subject_041_session_01,0.4,:b,0.97061,1.89,0.34167,:b,0.97111,1.9,0.55,:b,0.28185,-0.58
subject_042_session_01,0.9,:g,<0.0001,-8.49,0.975,:g,<0.0001,-20.15,0.93333,:g,<0.0001,-10.9
subject_043_session_01,0.41667,:b,0.85885,1.08,0.74167,:g,0.00017,-3.59,0.75833,:g,0.00021,-3.53
subject_044_session_01,0.49167,:b,0.45321,-0.12,0.575,:b,0.10126,-1.27,0.48333,:b,0.45562,-0.11
subject_045_session_01,0.35,:b,0.98005,2.05,0.75,:g,<0.0001,-4.5,0.55,:b,0.29194,-0.55
subject_046_session_01,0.5,:b,0.25977,-0.64,0.575,:b,0.09885,-1.29,0.5,:b,0.38542,-0.29
subject_048_session_01,0.55,:b,0.24056,-0.7,0.91667,:g,<0.0001,-10.17,0.55833,:b,0.33188,-0.43
subject_049_session_01,0.49167,:b,0.5,0.0,0.88333,:g,<0.0001,-7.28,0.75,:g,0.00015,-3.62
subject_051_session_01,0.675,:n,0.0243,-1.97,0.775,:g,<0.0001,-3.89,0.5,:b,0.19658,-0.85
subject_052_session_01,0.6,:b,0.05252,-1.62,0.7,:g,0.00155,-2.96,0.5,:b,0.24421,-0.69
subject_054_session_01,0.74167,:g,<0.0001,-3.85,0.84167,:g,<0.0001,-6.39,0.71667,:g,0.00135,-3.0
subject_055_session_01,0.7,:g,0.00119,-3.04,0.78333,:g,<0.0001,-4.91,0.55,:b,0.17616,-0.93
subject_056_session_01,0.825,:g,<0.0001,-6.09,0.9,:g,<0.0001,-7.8,0.675,:g,0.0045,-2.61
subject_057_session_01,0.26667,:b,0.99981,3.56,0.35,:b,0.98027,2.06,0.44167,:b,0.71197,0.56
subject_058_session_01,0.29167,:b,0.99772,2.84,0.475,:b,0.47592,-0.06,0.475,:b,0.54821,0.12
subject_059_session_01,0.33333,:b,0.98842,2.27,0.425,:b,0.7066,0.54,0.48333,:b,0.40729,-0.23
subject_060_session_01,0.68333,:g,0.0001,-3.71,0.75833,:g,<0.0001,-3.96,0.69167,:g,0.0034,-2.71
subject_061_session_01,0.34167,:b,0.98718,2.23,0.74167,:g,0.00011,-3.69,0.56667,:b,0.26901,-0.62
subject_062_session_01,0.6,:n,0.03258,-1.84,0.85,:g,<0.0001,-7.17,0.83333,:g,<0.0001,-5.67
subject_063_session_01,0.35,:b,0.84915,1.03,0.475,:b,0.55838,0.15,0.5,:b,0.40949,-0.23
subject_064_session_01,0.45,:b,0.77722,0.76,0.68333,:g,0.00287,-2.76,0.45,:b,0.75165,0.68
subject_066_session_01,0.36667,:b,0.97296,1.93,0.40833,:b,0.8818,1.18,0.48333,:b,0.6929,0.5
subject_067_session_01,0.20833,:b,0.99998,4.15,0.4,:b,0.81871,0.91,0.5,:b,0.30262,-0.52
subject_069_session_01,0.40833,:b,0.92206,1.42,0.625,:b,0.0641,-1.52,0.5,:b,0.36031,-0.36
subject_072_session_01,0.775,:g,<0.0001,-4.36,0.78333,:g,<0.0001,-4.63,0.78333,:g,<0.0001,-3.97
subject_073_session_01,0.2,:b,1.0,5.14,0.44167,:b,0.6879,0.49,0.475,:b,0.62482,0.32
subject_074_session_01,0.36667,:b,0.96204,1.77,0.43333,:b,0.75399,0.69,0.41667,:b,0.80569,0.86
subject_075_session_01,0.6,:b,0.32404,-0.46,0.7,:n,0.0243,-1.97,0.65,:b,0.09737,-1.3
subject_076_session_01,0.30833,:b,0.99801,2.88,0.475,:b,0.67503,0.45,0.425,:b,0.82716,0.94
subject_078_session_01,0.425,:b,0.57243,0.18,0.475,:b,0.22151,-0.77,0.5,:b,0.15626,-1.01
subject_079_session_01,0.45833,:b,0.74542,0.66,0.675,:n,0.01611,-2.14,0.59167,:b,0.13526,-1.1
subject_081_session_01,0.70833,:g,0.00072,-3.19,0.64167,:n,0.02951,-1.89,0.75833,:g,<0.0001,-3.95
subject_082_session_01,0.525,:b,0.36911,-0.33,0.73333,:g,<0.0001,-3.87,0.625,:n,0.04414,-1.7
subject_083_session_01,0.48333,:b,0.59837,0.25,0.74167,:g,0.00024,-3.49,0.6,:b,0.1089,-1.23
subject_085_session_01,0.85,:g,<0.0001,-4.4,0.925,:g,<0.0001,-6.81,0.625,:b,0.30648,-0.51
subject_087_session_01,0.4,:b,0.86844,1.12,0.275,:b,0.98488,2.17,0.55,:b,0.45073,-0.12
subject_091_session_01,0.28333,:b,0.99911,3.12,0.48333,:b,0.64741,0.38,0.54167,:b,0.36793,-0.34
subject_092_session_01,0.55833,:b,0.15429,-1.02,0.58333,:b,0.07706,-1.43,0.525,:b,0.19047,-0.88
subject_093_session_01,0.675,:n,0.01365,-2.21,0.825,:g,<0.0001,-4.78,0.55,:b,0.22004,-0.77
subject_094_session_01,0.78333,:g,<0.0001,-4.58,0.85,:g,<0.0001,-6.38,0.66667,:n,0.01076,-2.3
subject_096_session_01,0.575,:b,0.13454,-1.11,0.725,:g,0.00039,-3.36,0.55,:b,0.24645,-0.69
subject_097_session_01,0.3,:b,0.9469,1.62,0.6,:b,0.15085,-1.03,0.5,:b,0.40949,-0.23
subject_098_session_01,0.43333,:b,0.82672,0.94,0.54167,:b,0.24198,-0.7,0.475,:b,0.55175,0.13
subject_099_session_01,0.475,:b,0.54846,0.12,0.54167,:b,0.2509,-0.67,0.64167,:n,0.02763,-1.92
subject_100_session_01,0.3,:b,0.99773,2.84,0.575,:b,0.06858,-1.49,0.45,:b,0.86789,1.12
subject_103_session_01,0.30833,:b,0.9953,2.6,0.65,:n,0.00649,-2.48,0.60833,:b,0.07023,-1.47
subject_104_session_01,0.375,:b,0.97371,1.94,0.45,:b,0.78294,0.78,0.575,:b,0.1929,-0.87
subject_105_session_01,0.64167,:b,0.0539,-1.61,0.78333,:g,<0.0001,-4.16,0.575,:b,0.18989,-0.88
subject_106_session_01,0.25,:b,0.99651,2.7,0.45,:b,0.43273,-0.17,0.5,:b,0.2108,-0.8
subject_107_session_01,0.48333,:b,0.5,0.0,0.54167,:b,0.29131,-0.55,0.50833,:b,0.35259,-0.38
subject_108_session_01,0.4,:b,0.95476,1.69,0.76667,:g,<0.0001,-4.1,0.59167,:b,0.14783,-1.05
subject_109_session_01,0.41667,:b,0.90412,1.31,0.45833,:b,0.7119,0.56,0.43333,:b,0.88508,1.2
