subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_001_session_01,0.85,:g,<0.0001,-8.52,0.925,:g,<0.0001,-10.5,0.5,:b,0.20351,-0.83
subject_002_session_01,0.86667,:g,<0.0001,-6.47,0.86667,:g,<0.0001,-6.47,0.93333,:g,<0.0001,-10.53
subject_004_session_01,0.6,:b,0.11034,-1.22,0.775,:g,0.00013,-3.65,0.5,:b,0.34927,-0.39
subject_005_session_01,0.55,:b,0.5,0.0,0.275,:b,0.99102,2.37,0.5,:b,0.38542,-0.29
subject_006_session_01,0.36667,:b,0.94329,1.58,0.4,:b,0.89627,1.26,0.56667,:b,0.16925,-0.96
subject_007_session_01,0.90833,:g,<0.0001,-9.17,0.83333,:g,<0.0001,-5.48,0.95833,:g,<0.0001,-14.39
subject_008_session_01,0.625,:n,0.04198,-1.73,0.90833,:g,<0.0001,-8.96,0.8,:g,<0.0001,-4.25
subject_009_session_01,0.20833,:b,0.99999,4.39,0.44167,:b,0.8158,0.9,0.36667,:b,0.96465,1.81
subject_011_session_01,0.50833,:b,0.39374,-0.27,0.675,:n,0.01244,-2.24,0.55,:b,0.33717,-0.42
subject_012_session_01,0.53333,:b,0.34018,-0.41,0.85833,:g,<0.0001,-6.85,0.64167,:n,0.02181,-2.02
subject_013_session_01,0.61667,:n,0.0152,-2.16,0.88333,:g,<0.0001,-7.62,0.83333,:g,<0.0001,-5.86
subject_014_session_01,0.33333,:b,0.99461,2.55,0.65,:n,0.01633,-2.14,0.525,:b,0.24625,-0.69
subject_015_session_01,0.725,:n,0.00591,-2.52,1.0,:g,<0.0001,-Inf,0.8,:g,<0.0001,-3.77
subject_016_session_01,0.5,:b,0.54361,0.11,0.725,:g,0.00087,-3.13,0.525,:b,0.42549,-0.19
subject_017_session_01,0.40833,:b,0.90675,1.32,0.59167,:b,0.16021,-0.99,0.63333,:b,0.05114,-1.63
subject_019_session_01,0.625,:b,0.05253,-1.62,0.59167,:b,0.13995,-1.08,0.6,:b,0.13698,-1.09
subject_021_session_01,0.56667,:b,0.23755,-0.71,0.58333,:b,0.09289,-1.32,0.5,:b,0.26024,-0.64
subject_022_session_01,0.7,:g,0.00251,-2.81,0.725,:g,0.00028,-3.45,0.5,:b,0.19658,-0.85
subject_023_session_01,0.61667,:n,0.04844,-1.66,0.76667,:g,<0.0001,-4.12,0.61667,:b,0.09158,-1.33
subject_024_session_01,0.40833,:b,0.85457,1.06,0.6,:b,0.15375,-1.02,0.31667,:b,0.99511,2.58
subject_025_session_01,0.65833,:n,0.01828,-2.09,0.91667,:g,<0.0001,-9.07,0.56667,:b,0.20828,-0.81
subject_026_session_01,0.275,:b,0.9993,3.19,0.54167,:b,0.24527,-0.69,0.525,:b,0.27236,-0.61
subject_027_session_01,0.45,:b,0.76025,0.71,0.73333,:g,0.00038,-3.36,0.49167,:b,0.5229,0.06
subject_028_session_01,0.575,:b,0.32627,-0.45,0.65,:n,0.04544,-1.69,0.525,:b,0.5,0.0
subject_029_session_01,0.63333,:n,0.0123,-2.25,0.98333,:g,<0.0001,-19.24,0.5,:b,0.24625,-0.69
subject_030_session_01,0.55,:b,0.20556,-0.82,0.75,:g,0.00016,-3.6,0.55,:b,0.18066,-0.91
subject_031_session_01,0.74167,:g,<0.0001,-3.78,0.86667,:g,<0.0001,-6.66,0.81667,:g,<0.0001,-5.43
subject_032_session_01,0.325,:b,0.99337,2.48,0.7,:n,0.02234,-2.01,0.45,:b,0.62801,0.33
subject_033_session_01,0.7,:g,0.00155,-2.96,0.6,:b,0.09988,-1.28,0.65833,:n,0.01867,-2.08
subject_034_session_01,0.79167,:g,<0.0001,-4.34,0.88333,:g,<0.0001,-7.88,0.66667,:n,0.01457,-2.18
subject_035_session_01,0.95,:g,<0.0001,-13.5,0.975,:g,<0.0001,-20.15,0.925,:g,<0.0001,-10.41
subject_036_session_01,0.55,:b,0.18075,-0.91,0.78333,:g,<0.0001,-4.39,0.725,:g,0.00104,-3.08
subject_037_session_01,0.6,:b,0.17479,-0.94,0.875,:g,<0.0001,-6.0,0.625,:b,0.19874,-0.85
subject_038_session_01,0.475,:b,0.62064,0.31,0.35,:b,0.98566,2.19,0.55,:b,0.22934,-0.74
