subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.4875,:b,0.65089,0.39,0.75833,:g,<0.0001,-9.43,0.75833,:g,<0.0001,-9.27
subject_02_session_01,0.70717,:g,<0.0001,-10.01,0.80367,:g,<0.0001,-16.81,0.86383,:g,<0.0001,-23.29
subject_03_session_01,0.95385,:g,<0.0001,-49.44,0.98077,:g,<0.0001,-79.84,0.98269,:g,<0.0001,-84.41
subject_04_session_01,0.83689,:g,<0.0001,-20.93,0.96019,:g,<0.0001,-54.13,0.93355,:g,<0.0001,-40.02
subject_05_session_01,0.54773,:n,0.02228,-2.01,0.73636,:g,<0.0001,-11.18,0.73409,:g,<0.0001,-11.14
subject_06_session_01,0.55577,:n,0.00517,-2.56,0.74423,:g,<0.0001,-12.73,0.69808,:g,<0.0001,-9.82
subject_07_session_01,0.44338,:b,0.99535,2.6,0.69031,:g,<0.0001,-9.37,0.64769,:g,<0.0001,-7.03
subject_08_session_01,0.53155,:b,0.09393,-1.32,0.86857,:g,<0.0001,-21.77,0.80643,:g,<0.0001,-15.52
subject_09_session_01,0.53654,:n,0.0474,-1.67,0.64423,:g,<0.0001,-6.85,0.64808,:g,<0.0001,-7.06
subject_10_session_01,0.75385,:g,<0.0001,-13.53,0.93077,:g,<0.0001,-38.62,0.9,:g,<0.0001,-30.42
subject_12_session_01,0.90962,:g,<0.0001,-32.91,0.97885,:g,<0.0001,-76.59,0.98462,:g,<0.0001,-89.54
subject_13_session_01,0.60625,:g,<0.0001,-4.73,0.75417,:g,<0.0001,-12.93,0.76667,:g,<0.0001,-13.76
subject_14_session_01,0.61346,:g,<0.0001,-5.42,0.95385,:g,<0.0001,-49.31,0.94615,:g,<0.0001,-44.83
