subject-session,accMDM,accENLR
subject_06_session_01,0.65,0.66161
subject_06_session_02,0.66944,0.74444
subject_07_session_01,0.63264,0.66319
subject_07_session_02,0.58125,0.73661
subject_07_session_03,0.64514,0.7125
subject_07_session_04,0.62606,0.68515
subject_08_session_01,0.79833,0.74379
subject_08_session_02,0.84803,0.90379
subject_08_session_03,0.7,0.75
subject_08_session_04,0.795,0.71
subject_09_session_01,0.56319,0.53194
subject_09_session_02,0.63889,0.61944
subject_09_session_03,0.67727,0.60682
subject_09_session_04,0.71778,0.68444
