subject-session,accMDM,accENLR
subject_06_session_01,0.625,0.50625
subject_06_session_02,0.65833,0.81319
subject_06_session_03,0.55,0.55119
subject_07_session_02,0.57,0.64
subject_07_session_03,0.71,0.73712
subject_07_session_04,0.645,0.63636
subject_08_session_01,0.75,0.69944
subject_08_session_02,0.86545,0.895
subject_08_session_03,0.78125,0.63194
subject_08_session_04,0.875,0.82
subject_09_session_01,0.66045,0.68545
subject_09_session_02,0.80536,0.73036
subject_09_session_03,0.67742,0.74606
subject_09_session_04,0.61,0.63
