subject-session,accMDM,accENLR
subject_06_session_01,0.40909,0.52591
subject_06_session_02,0.65,0.63571
subject_06_session_03,0.62569,0.65278
subject_07_session_01,0.56389,0.60278
subject_07_session_02,0.7,0.71389
subject_07_session_03,0.615,0.575
subject_07_session_04,0.58212,0.65212
subject_08_session_01,0.91444,0.885
subject_08_session_02,0.745,0.95
subject_08_session_03,0.81944,0.83889
subject_08_session_04,0.74136,0.68591
subject_09_session_01,0.675,0.84444
subject_09_session_02,0.78333,0.75278
subject_09_session_03,0.65417,0.78819
subject_09_session_04,0.585,0.60944
