subject-session,accMDM,accENLR
subject_06_session_01,0.7,0.65
subject_06_session_02,0.66944,0.53819
subject_06_session_03,0.65,0.70694
subject_06_session_04,0.59286,0.63661
subject_07_session_01,0.66667,0.65167
subject_07_session_02,0.63258,0.63636
subject_07_session_03,0.695,0.655
subject_07_session_04,0.68667,0.64424
subject_08_session_01,0.82106,0.775
subject_08_session_02,0.73144,0.79924
subject_08_session_03,0.835,0.66545
subject_08_session_04,0.82879,0.75795
subject_09_session_01,0.49167,0.65833
subject_09_session_02,0.71818,0.66924
subject_09_session_03,0.58389,0.615
subject_09_session_04,0.58712,0.54091
