subject-session,accMDM,accENLR
subject_06_session_01,0.65,0.68636
subject_06_session_02,0.59444,0.62083
subject_07_session_01,0.63258,0.74545
subject_07_session_02,0.675,0.70758
subject_07_session_03,0.51538,0.51282
subject_07_session_04,0.65,0.60389
subject_08_session_01,0.7697,0.82424
subject_08_session_02,0.72879,0.87045
subject_08_session_03,0.77462,0.81212
subject_08_session_04,0.875,0.715
subject_09_session_01,0.715,0.605
subject_09_session_02,0.7572,0.875
subject_09_session_03,0.62614,0.67386
subject_09_session_04,0.54561,0.60379
