subject-session,accMDM,accENLR
subject_01_session_01,0.8825,0.815
subject_02_session_01,0.77395,0.81987
subject_03_session_01,0.76337,0.80293
subject_04_session_01,0.77289,0.70524
subject_05_session_01,0.79839,0.83929
subject_06_session_01,0.88194,0.91389
subject_07_session_01,0.69979,0.77812
subject_08_session_01,0.93929,0.91786
subject_09_session_01,0.85,0.83333
subject_10_session_01,0.76697,0.81107
subject_11_session_01,0.83799,0.80645
subject_12_session_01,0.78958,0.76604
subject_13_session_01,0.90724,0.91711
subject_14_session_01,0.76288,0.833
subject_15_session_01,0.52879,0.67462
subject_16_session_01,0.58,0.50708
subject_18_session_01,0.86393,0.90786
subject_19_session_01,0.67738,0.63845
subject_20_session_01,0.57697,0.67792
subject_21_session_01,0.78333,0.76042
subject_22_session_01,0.83013,0.89615
subject_27_session_01,0.83909,0.78634
subject_28_session_01,0.82115,0.75481
subject_29_session_01,0.59667,0.60667
subject_30_session_01,0.59534,0.57361
subject_31_session_01,0.50556,0.55044
subject_32_session_01,0.40715,0.51518
subject_33_session_01,0.59187,0.60875
subject_34_session_01,0.66539,0.65548
subject_35_session_01,0.47881,0.49881
subject_36_session_01,0.64663,0.60887
subject_37_session_01,0.81071,0.80274
subject_38_session_01,0.7859,0.7641
