subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.7,:g,<0.0001,-4.6,0.82,:g,<0.0001,-8.69,0.7,:g,<0.0001,-4.4
subject_02_session_01,0.81,:g,<0.0001,-8.0,0.73,:g,<0.0001,-5.13,0.65,:g,0.00056,-3.26
subject_03_session_01,0.99,:g,<0.0001,-49.0,1.0,:g,<0.0001,-Inf,1.0,:g,<0.0001,-Inf
subject_04_session_01,0.86,:g,<0.0001,-10.59,0.83,:g,<0.0001,-9.15,0.88,:g,<0.0001,-11.52
subject_05_session_01,0.71,:g,<0.0001,-4.74,0.81,:g,<0.0001,-7.89,0.71,:g,<0.0001,-4.74
subject_06_session_01,0.59,:n,0.0353,-1.81,0.63,:g,0.0042,-2.64,0.71,:g,<0.0001,-4.79
subject_07_session_01,0.82,:g,<0.0001,-8.29,0.84,:g,<0.0001,-9.23,0.88,:g,<0.0001,-11.64
subject_08_session_01,0.815,:g,<0.0001,-7.87,0.8575,:g,<0.0001,-9.49,0.815,:g,<0.0001,-7.2
subject_09_session_01,0.92,:g,<0.0001,-15.28,0.87,:g,<0.0001,-10.63,0.81,:g,<0.0001,-7.78
subject_10_session_01,0.745,:g,<0.0001,-5.51,0.7225,:g,<0.0001,-4.99,0.7325,:g,<0.0001,-5.3
subject_11_session_01,0.845,:g,<0.0001,-9.39,0.8225,:g,<0.0001,-7.95,0.83,:g,<0.0001,-8.56
subject_12_session_01,0.66,:g,0.0003,-3.43,0.67,:g,0.00018,-3.56,0.6,:n,0.02444,-1.97
subject_13_session_01,0.69,:g,<0.0001,-4.06,0.69,:g,<0.0001,-4.1,0.56,:b,0.1071,-1.24
subject_14_session_01,0.635,:g,0.00299,-2.75,0.5625,:b,0.11495,-1.2,0.4925,:b,0.60067,0.26
