subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.55,:n,0.0417,-1.73,0.69667,:g,<0.0001,-7.37,0.67333,:g,<0.0001,-6.38
subject_02_session_01,0.70929,:g,<0.0001,-7.71,0.91643,:g,<0.0001,-25.3,0.8369,:g,<0.0001,-15.47
subject_03_session_01,0.69333,:g,<0.0001,-7.44,0.94667,:g,<0.0001,-34.4,0.91667,:g,<0.0001,-26.34
subject_04_session_01,0.66003,:g,<0.0001,-5.45,0.96108,:g,<0.0001,-38.1,0.91342,:g,<0.0001,-23.96
subject_05_session_01,0.6217,:g,<0.0001,-4.16,0.93819,:g,<0.0001,-30.05,0.93929,:g,<0.0001,-29.88
subject_06_session_01,0.60333,:g,0.00021,-3.52,0.93357,:g,<0.0001,-29.45,0.89857,:g,<0.0001,-22.29
subject_07_session_01,0.54786,:n,0.04816,-1.66,0.55238,:n,0.0407,-1.74,0.58,:g,0.00338,-2.71
subject_08_session_01,0.43654,:b,0.98451,2.16,0.68791,:g,<0.0001,-6.62,0.64313,:g,<0.0001,-4.93
subject_09_session_01,0.57881,:g,0.0027,-2.78,0.80286,:g,<0.0001,-13.03,0.8,:g,<0.0001,-12.96
subject_10_session_01,0.55738,:n,0.02821,-1.91,0.87524,:g,<0.0001,-19.27,0.77952,:g,<0.0001,-11.26
