subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_02_session_02,0.5,:b,0.5,0.0,0.6,:b,0.20711,-0.82,0.75,:n,0.01267,-2.24
subject_02_session_03,0.2,:b,0.99865,3.0,0.75,:g,0.00195,-2.89,0.4,:b,0.79289,0.82
subject_03_session_02,0.65,:b,0.08986,-1.34,0.75,:g,0.00195,-2.89,0.7,:n,0.02275,-2.0
subject_04_session_02,0.7,:b,0.05124,-1.63,0.65,:b,0.12842,-1.13,0.8,:g,0.00135,-3.0
subject_05_session_01,0.5,:b,0.5,0.0,0.5,:b,0.5,0.0,0.5,:b,0.5,0.0
subject_05_session_02,0.3,:b,0.97725,2.0,0.45,:b,0.64727,0.38,0.45,:b,0.64727,0.38
subject_05_session_03,0.6,:b,0.20711,-0.82,1.0,:g,<0.0001,-Inf,0.65,:b,0.12842,-1.13
subject_06_session_01,0.35,:b,0.91014,1.34,0.4,:b,0.76025,0.71,0.35,:b,0.95837,1.73
subject_06_session_02,0.45,:b,0.64727,0.38,0.6,:b,0.20711,-0.82,0.5,:b,0.5,0.0
subject_07_session_01,0.5,:b,0.5,0.0,0.6,:b,0.20711,-0.82,0.4,:b,0.79289,0.82
subject_07_session_02,0.4,:b,0.76025,0.71,0.6,:b,0.20711,-0.82,0.6,:b,0.23975,-0.71
subject_07_session_03,0.35,:b,0.87158,1.13,0.35,:b,0.91014,1.34,0.4,:b,0.84134,1.0
subject_08_session_02,0.35,:b,0.99865,3.0,0.8,:g,0.00135,-3.0,0.55,:b,0.32736,-0.45
subject_08_session_03,0.6,:b,0.20711,-0.82,0.9,:g,<0.0001,-5.66,0.7,:n,0.02275,-2.0
subject_09_session_01,0.95,:g,<0.0001,-9.0,0.95,:g,<0.0001,-9.0,1.0,:g,<0.0001,-Inf
subject_09_session_02,0.55,:b,0.28185,-0.58,1.0,:g,<0.0001,-Inf,1.0,:g,<0.0001,-Inf
subject_09_session_03,0.6,:b,0.20711,-0.82,0.85,:g,<0.0001,-4.04,0.9,:g,<0.0001,-5.66
subject_10_session_01,0.55,:b,0.32736,-0.45,0.5,:b,0.5,0.0,0.55,:b,0.35273,-0.38
subject_10_session_02,0.45,:b,0.67264,0.45,0.5,:b,0.5,0.0,0.5,:b,0.5,0.0
subject_10_session_03,0.4,:b,0.76025,0.71,0.3,:b,0.94876,1.63,0.55,:b,0.32736,-0.45
subject_11_session_02,0.45,:b,0.67264,0.45,0.4,:b,0.79289,0.82,0.55,:b,0.35273,-0.38
subject_13_session_01,0.65,:b,0.08986,-1.34,0.55,:b,0.35273,-0.38,0.75,:g,0.00195,-2.89
subject_13_session_02,0.6,:b,0.15866,-1.0,0.65,:b,0.08986,-1.34,0.6,:b,0.20711,-0.82
subject_13_session_03,0.6,:b,0.23975,-0.71,0.65,:b,0.08986,-1.34,0.65,:b,0.12842,-1.13
subject_14_session_01,0.45,:b,0.71815,0.58,0.4,:b,0.84134,1.0,0.4,:b,0.84134,1.0
subject_15_session_01,0.35,:b,0.91014,1.34,0.8,:g,0.00135,-3.0,0.6,:b,0.20711,-0.82
subject_15_session_02,0.65,:b,0.12842,-1.13,0.6,:b,0.20711,-0.82,0.65,:b,0.12842,-1.13
subject_15_session_03,0.35,:b,0.91014,1.34,0.6,:b,0.23975,-0.71,0.5,:b,0.5,0.0
subject_16_session_01,0.65,:n,0.04163,-1.73,0.95,:g,<0.0001,-9.0,0.8,:g,0.00135,-3.0
subject_16_session_02,0.95,:g,<0.0001,-9.0,1.0,:g,<0.0001,-Inf,0.85,:g,<0.0001,-4.04
subject_16_session_03,0.7,:n,0.02275,-2.0,0.95,:g,<0.0001,-9.0,0.75,:n,0.01267,-2.24
subject_17_session_01,0.5,:b,0.5,0.0,0.95,:g,<0.0001,-9.0,0.9,:g,<0.0001,-5.66
subject_17_session_02,0.35,:b,0.91014,1.34,0.75,:n,0.01267,-2.24,0.7,:n,0.02275,-2.0
subject_17_session_03,0.7,:n,0.02275,-2.0,0.8,:g,0.00135,-3.0,0.65,:b,0.08986,-1.34
subject_18_session_02,0.55,:b,0.32736,-0.45,0.45,:b,0.67264,0.45,0.65,:n,0.04163,-1.73
subject_18_session_03,0.5,:b,0.5,0.0,0.6,:b,0.20711,-0.82,0.5,:b,0.5,0.0
subject_19_session_01,0.75,:g,0.00195,-2.89,0.95,:g,<0.0001,-9.0,0.95,:g,<0.0001,-9.0
subject_19_session_02,0.6,:b,0.20711,-0.82,0.95,:g,<0.0001,-9.0,1.0,:g,<0.0001,-Inf
subject_19_session_03,0.75,:g,0.00195,-2.89,0.85,:g,<0.0001,-4.04,0.8,:g,0.00135,-3.0
subject_21_session_01,0.35,:b,0.95837,1.73,0.8,:g,0.00135,-3.0,0.45,:b,0.67264,0.45
subject_23_session_01,0.95,:g,<0.0001,-9.0,1.0,:g,<0.0001,-Inf,1.0,:g,<0.0001,-Inf
subject_23_session_02,0.85,:g,<0.0001,-4.04,0.75,:n,0.01267,-2.24,0.8,:g,0.00135,-3.0
subject_24_session_02,0.75,:g,0.00195,-2.89,0.7,:b,0.05124,-1.63,0.55,:b,0.35273,-0.38
subject_25_session_02,0.5,:b,0.5,0.0,1.0,:g,<0.0001,-Inf,0.9,:g,<0.0001,-5.66
subject_25_session_03,0.75,:g,<0.0001,-5.0,0.95,:g,<0.0001,-9.0,0.95,:g,<0.0001,-9.0
subject_26_session_01,0.7,:g,0.00234,-2.83,0.5,:b,0.5,0.0,0.8,:g,0.00135,-3.0
subject_26_session_02,0.8,:g,0.00135,-3.0,0.85,:g,<0.0001,-4.04,0.7,:n,0.02275,-2.0
subject_26_session_03,0.85,:g,<0.0001,-7.0,0.9,:g,<0.0001,-5.66,0.85,:g,<0.0001,-4.04
subject_27_session_02,0.85,:g,<0.0001,-4.04,1.0,:g,<0.0001,-Inf,0.9,:g,<0.0001,-5.66
