subject-session,accMDM,perfMDM,pvalMDM,zMDM,accENLR,perfENLR,pvalENLR,zENLR,accSVM,perfSVM,pvalSVM,zSVM
subject_01_session_01,0.5875,:n,0.01318,-2.22,0.80625,:g,<0.0001,-9.55,0.78125,:g,<0.0001,-8.39
subject_02_session_01,0.5375,:b,0.16936,-0.96,0.84375,:g,<0.0001,-11.67,0.75625,:g,<0.0001,-7.6
subject_03_session_01,0.64196,:g,<0.0001,-3.84,0.76786,:g,<0.0001,-7.99,0.70357,:g,<0.0001,-5.52
subject_04_session_01,0.54405,:b,0.16537,-0.97,0.87381,:g,<0.0001,-12.4,0.84048,:g,<0.0001,-10.42
subject_05_session_01,0.59375,:n,0.00735,-2.44,0.94375,:g,<0.0001,-24.4,0.86875,:g,<0.0001,-13.93
subject_06_session_01,0.64286,:g,0.00018,-3.57,0.9,:g,<0.0001,-15.49,0.8,:g,<0.0001,-8.74
subject_07_session_01,0.65268,:g,0.0001,-3.71,0.80446,:g,<0.0001,-9.16,0.80714,:g,<0.0001,-9.33
subject_08_session_01,0.4625,:b,0.83738,0.98,0.9875,:g,<0.0001,-55.15,0.93125,:g,<0.0001,-21.6
subject_09_session_01,0.8125,:g,<0.0001,-10.73,0.975,:g,<0.0001,-39.33,0.95,:g,<0.0001,-26.59
subject_10_session_01,0.64375,:g,<0.0001,-3.81,0.75625,:g,<0.0001,-7.74,0.75625,:g,<0.0001,-7.76
