subject-session,accMDM,accENLR
subject_01_session_01,0.90833,0.92
subject_02_session_01,0.75095,0.79535
subject_03_session_01,0.8914,0.90078
subject_04_session_01,0.68108,0.62468
subject_05_session_01,0.83187,0.79886
subject_06_session_01,0.91002,0.88206
subject_07_session_01,0.85083,0.895
subject_08_session_01,0.74279,0.66399
subject_09_session_01,0.79464,0.75492
subject_10_session_01,0.66125,0.78646
subject_11_session_01,0.84599,0.8264
subject_12_session_01,0.74534,0.70625
subject_13_session_01,0.82534,0.79845
subject_14_session_01,0.81825,0.78081
subject_15_session_01,0.82882,0.83409
subject_16_session_01,0.81034,0.82753
subject_17_session_01,0.86715,0.8514
subject_18_session_01,0.71686,0.86743
subject_19_session_01,0.90007,0.90918
subject_20_session_01,0.90626,0.94672
subject_21_session_01,0.91706,0.86962
