subject-session,accMDM,accENLR
subject_06_session_01,0.67,0.60389
subject_06_session_02,0.68545,0.62136
subject_06_session_03,0.59,0.615
subject_07_session_01,0.66,0.715
subject_07_session_02,0.60389,0.73889
subject_07_session_03,0.59167,0.58167
subject_07_session_04,0.62949,0.61667
subject_08_session_01,0.8625,0.75
subject_08_session_02,0.89091,0.825
subject_08_session_03,0.74167,0.6803
subject_08_session_04,0.80742,0.76091
subject_09_session_01,0.53333,0.69
subject_09_session_02,0.56182,0.6
subject_09_session_03,0.72981,0.75417
subject_09_session_04,0.71864,0.76
