subject-session,accMDM,accENLR
subject_06_session_01,0.59444,0.53889
subject_06_session_02,0.67,0.795
subject_06_session_03,0.50446,0.65
subject_07_session_01,0.525,0.71444
subject_07_session_02,0.6,0.64091
subject_07_session_03,0.6822,0.64962
subject_07_session_04,0.69053,0.70379
subject_08_session_01,0.725,0.70712
subject_08_session_02,0.86212,0.8375
subject_08_session_03,0.77333,0.675
subject_08_session_04,0.85833,0.89167
subject_09_session_01,0.70606,0.6947
subject_09_session_02,0.77889,0.75889
subject_09_session_03,0.67045,0.75
subject_09_session_04,0.59697,0.71591
