subject-session,accMDM,accENLR
subject_06_session_01,0.38773,0.61591
subject_06_session_02,0.675,0.71875
subject_06_session_03,0.62333,0.56889
subject_07_session_01,0.64167,0.695
subject_07_session_02,0.645,0.575
subject_07_session_03,0.64545,0.60182
subject_07_session_04,0.57917,0.6947
subject_08_session_01,0.94045,0.86545
subject_08_session_02,0.81591,0.925
subject_08_session_03,0.87,0.81444
subject_08_session_04,0.73106,0.7875
subject_09_session_01,0.73667,0.77879
subject_09_session_02,0.80652,0.81333
subject_09_session_03,0.56444,0.715
subject_09_session_04,0.61439,0.60644
