subject-session,accMDM,accENLR
subject_01_session_01,0.86771,0.88687
subject_01_session_02,0.89359,0.88846
subject_01_session_03,0.91314,0.875
subject_01_session_04,0.9,0.9
subject_01_session_05,0.90717,0.88321
subject_01_session_06,0.9,0.85417
subject_01_session_08,0.88494,0.90481
subject_02_session_01,0.90001,0.86696
subject_02_session_02,0.86447,0.81557
subject_02_session_03,0.91,0.89333
subject_02_session_04,0.9181,0.91833
subject_02_session_05,0.83595,0.79118
subject_02_session_06,0.79396,0.71188
subject_02_session_07,0.87667,0.87
subject_02_session_08,0.90865,0.84647
subject_03_session_01,0.86523,0.76205
subject_03_session_02,0.89211,0.80307
subject_03_session_03,0.82255,0.80907
subject_03_session_04,0.82271,0.86708
subject_03_session_05,0.85333,0.81667
subject_03_session_06,0.91731,0.80513
subject_03_session_07,0.9,0.8
subject_03_session_08,0.79538,0.80808
subject_04_session_01,0.89667,0.91
subject_04_session_02,0.83402,0.79293
subject_04_session_03,0.85,0.79167
subject_04_session_04,0.83952,0.70833
subject_04_session_05,0.83289,0.74993
subject_04_session_06,0.82643,0.8331
subject_04_session_07,0.83744,0.73321
subject_04_session_08,0.86425,0.83684
subject_05_session_01,0.81238,0.79657
subject_05_session_02,0.84333,0.77021
subject_05_session_03,0.83355,0.795
subject_05_session_04,0.84354,0.79
subject_05_session_05,0.90183,0.83526
subject_05_session_06,0.88333,0.785
subject_05_session_07,0.83452,0.84734
subject_05_session_08,0.89521,0.76521
subject_06_session_01,0.8591,0.80136
subject_06_session_02,0.86381,0.79274
subject_06_session_03,0.74762,0.73333
subject_06_session_04,0.81839,0.77357
subject_06_session_05,0.85233,0.78321
subject_06_session_07,0.7857,0.83023
subject_06_session_08,0.75183,0.68067
subject_07_session_01,0.89191,0.91373
subject_07_session_02,0.92976,0.94643
subject_07_session_03,0.91786,0.9381
subject_07_session_04,0.92,0.86
subject_07_session_05,0.94295,0.96667
subject_07_session_06,0.94615,0.93333
subject_07_session_07,0.95865,0.93782
subject_07_session_08,0.93974,0.9
subject_08_session_01,0.85441,0.82659
subject_09_session_01,0.90139,0.82917
subject_10_session_01,0.83388,0.84565
subject_11_session_01,0.90519,0.86778
subject_12_session_01,0.83846,0.86397
subject_13_session_01,0.84643,0.84036
subject_14_session_01,0.92021,0.90688
subject_15_session_01,0.95897,0.91667
subject_16_session_01,0.86397,0.84289
subject_17_session_01,0.77811,0.82783
subject_18_session_01,0.95192,0.91346
subject_20_session_01,0.8725,0.8675
subject_21_session_01,0.85208,0.83333
subject_22_session_01,0.86773,0.90539
subject_23_session_01,0.86167,0.76631
subject_24_session_01,0.86361,0.79464
