subject-session,accMDM,accENLR
subject_01_session_01,0.90641,0.84231
subject_01_session_02,0.93397,0.86667
subject_01_session_03,0.828,0.84167
subject_01_session_04,0.88417,0.83917
subject_01_session_05,0.97445,0.91731
subject_01_session_06,0.88665,0.87832
subject_01_session_07,0.88429,0.83107
subject_01_session_08,0.89973,0.84139
subject_02_session_01,0.82834,0.85285
subject_02_session_02,0.94734,0.84286
subject_02_session_03,0.87972,0.88873
subject_02_session_04,0.89271,0.90208
subject_02_session_05,0.86452,0.82976
subject_02_session_06,0.85202,0.82171
subject_02_session_07,0.90302,0.90556
subject_02_session_08,0.85212,0.8469
subject_03_session_01,0.79655,0.77357
subject_03_session_02,0.88969,0.86426
subject_03_session_03,0.87592,0.83575
subject_03_session_04,0.88856,0.85956
subject_03_session_05,0.84594,0.82704
subject_03_session_06,0.85133,0.79533
subject_03_session_07,0.89608,0.81446
subject_03_session_08,0.82152,0.76219
subject_04_session_01,0.92542,0.89875
subject_04_session_02,0.83977,0.79737
subject_04_session_03,0.875,0.85833
subject_04_session_04,0.855,0.71974
subject_04_session_05,0.82441,0.77043
subject_04_session_06,0.85965,0.79978
subject_04_session_07,0.788,0.74
subject_04_session_08,0.82658,0.77233
subject_05_session_01,0.85184,0.80447
subject_05_session_02,0.8598,0.77525
subject_05_session_03,0.92279,0.87016
subject_05_session_04,0.89062,0.81979
subject_05_session_05,0.86667,0.84
subject_05_session_07,0.89104,0.79729
subject_05_session_08,0.85395,0.80768
subject_06_session_01,0.82727,0.76294
subject_06_session_02,0.82471,0.75681
subject_06_session_03,0.80056,0.74534
subject_06_session_04,0.82723,0.80358
subject_06_session_05,0.79611,0.77634
subject_06_session_06,0.81931,0.69326
subject_06_session_07,0.83767,0.79365
subject_06_session_08,0.79908,0.81642
subject_07_session_01,0.87,0.87
subject_07_session_02,0.95897,0.96282
subject_07_session_03,0.92333,0.87667
subject_07_session_04,0.9,0.94667
subject_07_session_05,0.92,0.86
subject_07_session_06,0.92604,0.90312
subject_07_session_07,0.92402,0.87402
subject_07_session_08,0.95333,0.90667
subject_08_session_01,0.85345,0.88917
subject_09_session_01,0.94571,0.89667
subject_10_session_01,0.91002,0.85593
subject_11_session_01,0.88092,0.84518
subject_12_session_01,0.80572,0.84091
subject_13_session_01,0.81357,0.82095
subject_14_session_01,0.90479,0.86125
subject_15_session_01,0.95595,0.85595
subject_16_session_01,0.91,0.86
subject_17_session_01,0.81725,0.82822
subject_18_session_01,0.88109,0.80577
subject_19_session_01,0.66512,0.7376
subject_20_session_01,0.80888,0.78514
subject_21_session_01,0.98333,0.98333
subject_22_session_01,0.90279,0.82571
subject_23_session_01,0.57562,0.58079
subject_24_session_01,0.84354,0.85354
