subject-session,accMDM,accENLR
subject_01_session_02,0.6614,0.69193
subject_03_session_02,0.87889,0.88741
subject_04_session_02,0.84782,0.86796
subject_05_session_02,0.82814,0.8658
subject_06_session_02,0.80206,0.81907
subject_07_session_02,0.85737,0.84893
subject_08_session_02,0.79454,0.80427
subject_09_session_02,0.81169,0.77879
subject_10_session_02,0.80663,0.82252
subject_11_session_02,0.78718,0.85813
subject_12_session_02,0.7449,0.7387
subject_13_session_02,0.86349,0.90774
subject_14_session_02,0.86342,0.85249
subject_15_session_02,0.82348,0.83939
subject_16_session_02,0.81558,0.81634
subject_17_session_02,0.84685,0.85042
subject_18_session_02,0.74534,0.81613
subject_19_session_02,0.80469,0.80544
subject_20_session_02,0.84559,0.87647
subject_22_session_02,0.79333,0.78
subject_23_session_02,0.69891,0.77123
subject_24_session_02,0.8631,0.85665
subject_25_session_02,0.81619,0.79941
subject_26_session_02,0.85966,0.92155
subject_27_session_02,0.75644,0.72045
subject_28_session_02,0.76049,0.79139
subject_29_session_02,0.73444,0.79889
subject_30_session_02,0.7955,0.85621
subject_31_session_02,0.64409,0.65479
subject_32_session_02,0.804,0.87089
subject_33_session_02,0.79162,0.86664
subject_34_session_02,0.80354,0.88404
subject_35_session_02,0.70041,0.692
subject_37_session_02,0.79556,0.77611
subject_38_session_02,0.8379,0.87153
subject_39_session_02,0.78911,0.72008
subject_40_session_02,0.83555,0.87761
subject_41_session_02,0.70053,0.75697
subject_42_session_02,0.67296,0.70836
subject_43_session_02,0.86963,0.89111
